Planilha de Sincronização Musical,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,__title_norm,__author_norm,__is_match,__sheet
SAUDADE,,,CHRYSTIAN JOSE PEREIRA DA SILVA NETO ( CHRYSTIAN ),IRMÃOS VITALE - 100%,,ZÉ DAVELA E FABIANO,,,APARECIDA SERTANEJA,477,,,2024-03-03 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,saudade,,True,Sincronização Musical
AVE MARIA ,,,FRANZ SCHUBERT / WALTER SCOTT / WILLY UEBELHERR,BMG BRAZIL - 100%,,TONY ANGELI,,,APARECIDA SERTANEJA,480,,,2024-03-24 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,ave maria,,True,Sincronização Musical
PAU MANDADO,,,GERALDO BARBOSA DUARTE ( PEAO DO VALE ) / TAYLOR TORRES,BGK FONOGRÁFICA,,PEÃO DO VALLE E VALENTIN,,,APARECIDA SERTANEJA,480,,,2024-03-24 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,pau mandado,,True,Sincronização Musical
AVE MARIA ,,,FRANZ SCHUBERT / WALTER SCOTT / WILLY UEBELHERR,BMG BRAZIL - 100%,,THIAGO ARANCAM,,,APARECIDA SERTANEJA,481,,,2024-03-31 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,ave maria,,True,Sincronização Musical
UTOPIA ,,,JOSE FERNANDES DE OLIVEIRA ( PE. ZEZINHO SCJ ),PAULINAS-COMEP - 100%,,SILVIO BRITO,,,APARECIDA SERTANEJA,481,,,2024-03-31 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,utopia,,True,Sincronização Musical
AVE MARIA ,,,FRANZ SCHUBERT / WALTER SCOTT / WILLY UEBELHERR,BMG BRAZIL - 100%,,THIAGO ARANCAM,,,DE PAPO COM AMANDA FRANÇOZO,82,,,2024-03-09 00:00:00,PERFORMANCE,,INÉDITO,COM DIGITAL,ave maria,,True,Sincronização Musical
MARIA,,,FRANCISCO ANTONIO LOBO LEITE ( CHICO LOBO ),KUARUP PRODUÇÕES,,CHICO LOBO,,,LUAR DO SERTÃO,148,,,2024-03-12 00:00:00,PERFORMANCE,,INÉDITO,COM DIGITAL,maria,,True,Sincronização Musical
CASA DE CABOCLO,,,CARLOS EDUARDO FERREIRA OLIVEIRA ( CARLOS EDUARDO ) / GERALDO ANTONIO DE CARVALHO ( RICK ) / LAUDARCY RICARDO DE OLIVEIRA ( ALEXANDRE ),PEERMUSIC - 50% / WARNER - 50%,,PEDRO PAULO E PAULO VITOR,,,PROSA DE AMIGOS,214,,,2024-03-12 00:00:00,PERFORMANCE,,INÉDITO,SEM DIGITAL,casa de caboclo,,True,Sincronização Musical
AMANHÃ,,,GENILSON JOSE DE ARAUJO ( GENE ARAUJO ) / JORAN FERREIRA DA SILVA ( JORAN ),UNIVERSAL - 100%,,DHONATAN COELHO,,,PROSA DE AMIGOS,214,,,2024-03-12 00:00:00,PERFORMANCE,,INÉDITO,SEM DIGITAL,amanha,,True,Sincronização Musical
GANGORRA,,,JULIO CANDIDO GOMES ( RAMONCITO GOMES ),UNIVERSAL - 100%,,LÉO RIBEIRO E PYRANY,,,PROSA DE AMIGOS,212,,,2024-03-03 00:00:00,PERFORMANCE,,REPRISE,SEM DIGITAL,gangorra,,True,Sincronização Musical
