Planilha de Sincronização Musical,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,__title_norm,__author_norm,__is_match,__sheet
TUDO PASSA,,,ARNALDO SACCOMANI/ RICARDO ALVES CONCEIÇÃO,SONY - 100%,,ADRYANA RIBEIRO,,,APARECIDA SERTANEJA,465,,,2023-12-10 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,tudo passa,,True,Sincronização Musical
PROPOSTA,,,ADEMAR BENEDITO DOS SANTOS ( ITAMARACA ) / CLAUDIO BALESTRO ( CLAUCO ),UNIVERSAL - 100%,,LÉO E MARTINEZ,,,APARECIDA SERTANEJA,467,,,2023-12-24 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,proposta,,True,Sincronização Musical
FIM DE ANO,,,DAVID NASSER / FRANCISCO MORAES ALVES ( CHICO VIOLA ),IRMÃOS VITALE - 100%,,IR. CUSTÓDIA CARDOSO / ADELMA MIQUELIN / DILBER CORDEIRO / FERNANDO RIPOLI,,,CELEBRAR BEM,178,,,2023-12-30 00:00:00,PERFORMANCE,,INÉDITO,COM DIGITAL,fim de ano,,True,Sincronização Musical
FIM DE ANO,,,DAVID NASSER / FRANCISCO MORAES ALVES ( CHICO VIOLA ),IRMÃOS VITALE - 100%,,IR. CUSTÓDIA CARDOSO / ADELMA MIQUELIN / DILBER CORDEIRO / FERNANDO RIPOLI,,,CELEBRAR BEM,178,,,2023-12-31 00:00:00,PERFORMANCE,,REPRISE,SEM DIGITAL,fim de ano,,True,Sincronização Musical
FELIZ NATAL,,,JOSE ACACIO SANTANA ( JOSE ACACIO ),PAULINAS-COMEP - 100%,,CORAL DA ARQUIDIOCESE DE APARECIDA,,,CORAL DE NATAL DA ARQUIDIOCESE DE APARECIDA,2,,,2023-12-24 00:00:00,PERFORMANCE,,INÉDITO,COM DIGITAL,feliz natal,,True,Sincronização Musical
FELIZ NATAL,,,JOSE ACACIO SANTANA ( JOSE ACACIO ),PAULINAS-COMEP - 100%,,CORAL DA ARQUIDIOCESE DE APARECIDA,,,CORAL DE NATAL DA ARQUIDIOCESE DE APARECIDA,2,,,2023-12-29 00:00:00,PERFORMANCE,,REPRISE,SEM DIGITAL,feliz natal,,True,Sincronização Musical
FELIZ NATAL,,,JOSE ACACIO SANTANA ( JOSE ACACIO ),PAULINAS-COMEP - 100%,,CORAL DA ARQUIDIOCESE DE APARECIDA,,,CORAL DE NATAL DA ARQUIDIOCESE DE APARECIDA,2,,,2023-12-31 00:00:00,PERFORMANCE,,REPRISE,SEM DIGITAL,feliz natal,,True,Sincronização Musical
UTOPIA,,,JOSE FERNANDES DE OLIVEIRA ( PADRE ZEZINHO ),PAULINAS-COMEP - 100%,,BRUNO FAGLIONI / ADRIANA MELO,,,ESPECIAL - A IGREJA CANTA A FRATERNIDADE,1,,,2023-12-31 00:00:00,PERFORMANCE,,REPRISE,SEM DIGITAL,utopia,,True,Sincronização Musical
TATUAGEM,,,JOSE RANIER THEOTONIO ( FRANK RANIER ),DECK PRODUÇÕES,,GIAN E GIOVANI,,,ESPECIAL - GIAN E GIOVANI,1,,,2023-12-31 00:00:00,PERFORMANCE,,REPRISE,SEM DIGITAL,tatuagem,,True,Sincronização Musical
BALA PERDIDA,,,JOAO RODRIGUES DA SILVA JUNIOR ( ZE HENRIQUE ) / RENATO VIEIRA DE BARROS ( RENATO BARROS ),BMG BRAZIL - 50% / PEERMUSIC - 50%,,ALESSANDRO E MONTENEGRO,,,PROSA DE AMIGOS,206,,,2023-12-03 00:00:00,PERFORMANCE,,REPRISE,SEM DIGITAL,bala perdida,,True,Sincronização Musical
