provider,file_stem,EDITORA,AUTOR,INTERPRETE,__source_sheet,amount_cents,amount_int,PROGRAMA,amount_numeric
Globo,MusicCueSheet_TvAberta_Outubro2023,"IESSI MUSIC PUBLISHING,DECK,IESSI MUSIC PUBLISHING,IESSI MUSIC PUBLISHING","DAN KAMBAIAH,FABINHO O BRIAN,GIGI,MAGNO SANT ANNA",IVETE SANGALO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,"IESSI MUSIC PUBLISHING,WARNER CHAPPELL","IVETE SANGALO,SAMIR TRINDADE",IVETE SANGALO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,"IESSI MUSIC PUBLISHING,WARNER CHAPPELL","IVETE SANGALO,SAMIR TRINDADE",IVETE SANGALO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,"IESSI MUSIC PUBLISHING,WARNER CHAPPELL","IVETE SANGALO,SAMIR TRINDADE",IVETE SANGALO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,"IESSI MUSIC PUBLISHING,WARNER CHAPPELL","IVETE SANGALO,SAMIR TRINDADE",IVETE SANGALO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,"IESSI MUSIC PUBLISHING,IESSI MUSIC PUBLISHING,IESSI MUSIC PUBLISHING,IESSI MUSIC PUBLISHING,IESSI MUSIC PUBLISHING,UNIVERSAL MGB","IVETE SANGALO,NEILTON CERQUEIRA SANTOS,RADAMES VENANCIO,RAMON CRUZ,SAMIR TRINDADE,TIERRE COSTA",IVETE SANGALO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,"WARNER CHAPPELL,WARNER CHAPPELL,A DESCOBRIR,WARNER CHAPPELL,WARNER CHAPPELL,A DESCOBRIR,WARNER CHAPPELL","EMICIDA,GROU,LORENTZ,MATUE,PALAZE,QUANTICH,RAEL",MATUE,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,"SONY MUSIC PUBLISHING,A DESCOBRIR,WARNER CHAPPELL,A DESCOBRIR","GIBBO,MAKO,MATUE,RICH THE KID",MATUE,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,"SONY MUSIC PUBLISHING,A DESCOBRIR,WARNER CHAPPELL,A DESCOBRIR","GIBBO,MAKO,MATUE,RICH THE KID",MATUE,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,WARNER CHAPPELL,MATUE,MATUE,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,"WARNER CHAPPELL,WARNER CHAPPELL,A DESCOBRIR,WARNER CHAPPELL,WARNER CHAPPELL,A DESCOBRIR,WARNER CHAPPELL","EMICIDA,GROU,LORENTZ,MATUE,PALAZE,QUANTICH,RAEL",MATUE,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,WARNER CHAPPELL,MATUE,MATUE,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,"WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL","BER HEY,BERNARDO CRISOSTOMO PASQUALI,GABRIEL DUNAJSKI MENDES,GUSTAVO PIMENTEL KARAM,RAFAEL DUNAJSKI MENDES",JOVEM DIONISIO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,"WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL","BER HEY,BERNARDO CRISOSTOMO PASQUALI,GABRIEL DUNAJSKI MENDES,GUSTAVO PIMENTEL KARAM,RAFAEL DUNAJSKI MENDES",JOVEM DIONISIO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,"WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL","BER HEY,BERNARDO CRISOSTOMO PASQUALI,GABRIEL DUNAJSKI MENDES,GUSTAVO PIMENTEL KARAM,RAFAEL DUNAJSKI MENDES",JOVEM DIONISIO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,IESSI MUSIC PUBLISHING,RAMON CRUZ,IVETE SANGALO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,"IESSI MUSIC PUBLISHING,WARNER CHAPPELL","IVETE SANGALO,SAMIR TRINDADE",IVETE SANGALO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,"IESSI MUSIC PUBLISHING,WARNER CHAPPELL","IVETE SANGALO,SAMIR TRINDADE",IVETE SANGALO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,"IESSI MUSIC PUBLISHING,WARNER CHAPPELL","IVETE SANGALO,SAMIR TRINDADE",IVETE SANGALO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,"IESSI MUSIC PUBLISHING,WARNER CHAPPELL","IVETE SANGALO,SAMIR TRINDADE",IVETE SANGALO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,"IESSI MUSIC PUBLISHING,IESSI MUSIC PUBLISHING,IESSI MUSIC PUBLISHING,IESSI MUSIC PUBLISHING,IESSI MUSIC PUBLISHING,UNIVERSAL MGB","IVETE SANGALO,NEILTON CERQUEIRA SANTOS,RADAMES VENANCIO,RAMON CRUZ,SAMIR TRINDADE,TIERRE COSTA",IVETE SANGALO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,UNIVERSAL MGB,ED GRANDAO,IVETE SANGALO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
