Canal,Data,Programa,Episódio Nr.,Título da Obra,Autor(es),Intérprete(s),Editora(s),Tipo de Sincronização,Acervo Sim ou Não,Data da 1ª Exibição (apenas para conferência),Exibição,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
Canal Brasil,2024-01-02,Sobrepostas ,1,Acalanto,Luedji Luna,Luedji Luna,Dubas Música - Ltda Epp,Fundo Musical,Não,2021-10-25,Reprise,,,,True,artist_alias,CanalBrasil_Janeiro24
Canal Brasil,2024-01-08,Arte Na Capa ,61,Canteiros,"Cecilia Meirelles,Fagner",Fagner,"Unknown Publisher,Warner Chappell Edições Musicais Ltda.",Fundo Musical Acervo,Sim,2016-10-10,Reprise,,,,True,artist_alias,CanalBrasil_Janeiro24
Canal Brasil,2024-01-08,Arte Na Capa ,61,O Último Pau-De-Arara,"Corumba,J. Guimarães,Venâncio",Fagner,Universal Music Publishing Mgb Brasil Ltda.,Fundo Musical Acervo,Sim,2016-10-10,Reprise,,,,True,artist_alias,CanalBrasil_Janeiro24
Canal Brasil,2024-02-25,Espelho,103,Improviso Em Bossa Nova,"Baden Powell,Vinícius De Moraes",Baden Powell,Warner Chappell Edições Musicais Ltda,Fundo Musical Acervo,Sim,2012-03-26,Reprise,,,,True,artist_alias,CanalBrasil_Janeiro24
Canal Brasil,2024-03-01,Faixa Musical - Sambabook Jorge Aragão,1,Enredo Do Meu Samba,"Jorge Aragão,Yvonne Lara",Jorge Vercillo,Warner Chappell Edições Musicais Ltda,Performance Acervo,Sim,2016-12-17,Reprise,,,,True,artist_alias,CanalBrasil_Janeiro24
Canal Brasil,2024-03-01,Faixa Musical - Sambabook Jorge Aragão,1,Moleque Atrevido,"Flavio Cardoso,Jorge Aragão,Paulinho Rezende",Emicida,"Nowa Produções Artísticas Ltda,Universal Music Publishing Mgb Brasil Ltda,Unknown Publisher",Performance Acervo,Sim,2016-12-17,Reprise,,,,True,artist_alias,CanalBrasil_Janeiro24
Canal Brasil,2024-03-01,Faixa Musical - Sambabook Jorge Aragão,1,Toque De Malícia,Jorge Aragão,Lenine,Warner Chappell Edições Musicais Ltda,Performance Acervo,Sim,2016-12-17,Reprise,,,,True,artist_alias,CanalBrasil_Janeiro24
Canal Brasil,2024-03-04,O Estranho Mundo De Zé Do Caixão,116,Então Toma!,"Emicida,Renan Samam",Emicida,"Unknown Publisher,Warner Chappell Edições Musicais Ltda",Fundo Musical Acervo,Sim,2012-06-29,Reprise,,,,True,artist_alias,CanalBrasil_Janeiro24
Canal Brasil,2024-03-09,O Estranho Mundo De Zé Do Caixão,116,Então Toma!,"Emicida,Renan Samam",Emicida,"Unknown Publisher,Warner Chappell Edições Musicais Ltda",Fundo Musical Acervo,Sim,2012-06-29,Reprise,,,,True,artist_alias,CanalBrasil_Janeiro24
Canal Brasil,2024-03-23,302,137,Bocoché,"Baden Powell,Vinícius De Moraes",Baden Powell,Universal Music Publishing Mgb Brasil Ltda,Fundo Musical,Não,2020-09-14,Reprise,,,,True,artist_alias,CanalBrasil_Janeiro24
Canal Brasil,2023-12-19,O Som Do Vinil,357,O Astronauta,"Baden Powell,Vinicius De Moraes",Vinicius De Moraes,"Universal Music Publishing Mgb Brasil Ltda.,Unknown Publisher",Fundo Musical,Não,2023-12-19,-,,,,True,artist_alias,CanalBrasil_Janeiro24
Canal Brasil,2023-12-22,Maratona O Som Do Vinil,357,O Astronauta,"Baden Powell,Vinicius De Moraes",Vinicius De Moraes,"Universal Music Publishing Mgb Brasil Ltda.,Unknown Publisher",Fundo Musical,Não,2023-12-19,-,,,,True,artist_alias,CanalBrasil_Janeiro24
