Canal,Data,Programa,Episódio Nr.,Título da Obra,Autor(es),Intérprete(s),Editora(s),Tipo de Sincronização,Acervo Sim ou Não,Minutagem,Data da 1ª Exibição (apenas para conferência),Inédito,Rebatida,Reprise,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
BIS,2023-12-01,Versões,2.0,Admirável Chip Novo,Pitty,Day,"Warner Chappell Edições Musicais Ltda.,Deck Producoes Artisticas Ltda",Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,,,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-01,Versões,2.0,Brinquedo Torto,Pitty,Day,Deck Producoes Artisticas Ltda,Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,,,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-01,Versões,2.0,Dilúvio,"Danilo Valbusa,Day,Marcelinho Ferraz,Pedro Caropreso,Tiê Castro,Vitão",Day,"Universal Music Publishing Mgb Brasil Ltda.,Bmg Rights Management Brasil Ltda.,Deck Producoes Artisticas Ltda",Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,,,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-01,Versões,2.0,Equalize,"Peu Souza,Pitty",Day,Deck Producoes Artisticas Ltda,Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,,,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-01,Versões,2.0,I Wanna Be,Pitty,Day,Deck Producoes Artisticas Ltda,Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,,,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-01,Versões,2.0,Jurei Que Não Ia Falar De Amor,"Dan Valbusa,Day",Day,"Deck Producoes Artisticas Ltda,Universal Music Publishing Mgb Brasil Ltda.",Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,,,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-01,Versões,2.0,Me Adora,Pitty,Day,Deck Producoes Artisticas Ltda,Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,,,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-01,Versões,2.0,Memórias,Pitty,Day,"Warner Chappell Edições Musicais Ltda.,Deck Producoes Artisticas Ltda",Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,,,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-01,Versões,2.0,Metamorfose,"Adriano Alves,Day,Dj Dash,Marcelinho Ferraz",Day,"Deck Producoes Artisticas Ltda,Universal Music Publishing Mgb Brasil Ltda.",Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,,,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-01,Versões,2.0,Na Sua Estante,Pitty,Day,Deck Producoes Artisticas Ltda,Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,,,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-01,Versões,2.0,Pulsos,"Martin,Pitty",Day,Deck Producoes Artisticas Ltda,Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,,,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-01,Versões,2.0,Semana Que Vem,Pitty,Day,Deck Producoes Artisticas Ltda,Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,,,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-02,Versões,2.0,Admirável Chip Novo,Pitty,Day,"Warner Chappell Edições Musicais Ltda.,Deck Producoes Artisticas Ltda",Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,,,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-02,Versões,2.0,Brinquedo Torto,Pitty,Day,Deck Producoes Artisticas Ltda,Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,,,True,artist_alias,ConsolidadoDiversos_Dezembro23
