Canal,Data,Programa,Episódio Nr.,Título da Obra,Autor(es),Intérprete(s),Editora(s),Tipo de Sincronização,Acervo Sim ou Não,Minutagem,Data da 1ª Exibição (apenas para conferência),Inédito,Rebatida,Reprise,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
BIS,2023-12-01,Versões,2.0,Deja Vu,"Peu Souza,Pitty",Day,"Bmg Rights Management Brasil Ltda.,Warner Chappell Edições Musicais Ltda.",Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,DÉJÀ VU,T-308.187.765-4,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-01,Versões,2.0,Máscara,Pitty,Day,Deck Producoes Artisticas Ltda,Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,MÁSCARA,,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-01,Versões,2.0,Teto De Vidro,Pitty,Day,"Warner Chappell Edições Musicais Ltda.,Deck Producoes Artisticas Ltda",Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,TETO DE VIDRO,T-321.537.364-7,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-02,Versões,2.0,Deja Vu,"Peu Souza,Pitty",Day,"Bmg Rights Management Brasil Ltda.,Warner Chappell Edições Musicais Ltda.",Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,DÉJÀ VU,T-308.187.765-4,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-02,Versões,2.0,Máscara,Pitty,Day,Deck Producoes Artisticas Ltda,Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,MÁSCARA,,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-02,Versões,2.0,Teto De Vidro,Pitty,Day,"Warner Chappell Edições Musicais Ltda.,Deck Producoes Artisticas Ltda",Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,TETO DE VIDRO,T-321.537.364-7,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-05,Experimente.,3.0,Temporal,"Iuri Rio Branco D Luz,Marina Sena",Marina Sena,"Unknown Publisher,Boa Musica Brasil Direitos Musicais Ltda",Performance,Não,00:03:06,2021-09-21,-,-,Reprise,,TEMPORAL,T-307.003.180-6,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-06,Experimente.,3.0,Temporal,"Iuri Rio Branco D Luz,Marina Sena",Marina Sena,"Unknown Publisher,Boa Musica Brasil Direitos Musicais Ltda",Performance,Não,00:03:06,2021-09-21,-,-,Reprise,,TEMPORAL,T-307.003.180-6,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-10,Experimente.,3.0,Temporal,"Iuri Rio Branco D Luz,Marina Sena",Marina Sena,"Unknown Publisher,Boa Musica Brasil Direitos Musicais Ltda",Performance,Não,00:03:06,2021-09-21,-,-,Reprise,,TEMPORAL,T-307.003.180-6,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-10,Palco Principal - Afropunk Bahia 2023 - Djonga,7.0,Penumbra,Gustavo Marques,Djonga,Unknown Publisher,Performance,Não,00:03:00,2023-12-10,Inédito,-,-,,PENUMBRA,T-040.011.904-1,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-11,Versões,9.0,Tentação,"Drik Barbosa,Grou,L1ra,Oz,Raoni Kanalha,Rdd,Thiago Dos Reis Pereira,Wallace Ferreira",Drik Barbosa,"Bmg Rights Management Brasil Ltda.,Warner Chappell Edições Musicais Ltda.",Performance,Não,00:04:00,2020-12-13,-,-,Reprise,,TENTAÇÃO,T-322.163.164-3,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-12,Versões,9.0,Tentação,"Drik Barbosa,Grou,L1ra,Oz,Raoni Kanalha,Rdd,Thiago Dos Reis Pereira,Wallace Ferreira",Drik Barbosa,"Bmg Rights Management Brasil Ltda.,Warner Chappell Edições Musicais Ltda.",Performance,Não,00:04:00,2020-12-13,-,-,Reprise,,TENTAÇÃO,T-322.163.164-3,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-16,Versões,9.0,Tentação,"Drik Barbosa,Grou,L1ra,Oz,Raoni Kanalha,Rdd,Thiago Dos Reis Pereira,Wallace Ferreira",Drik Barbosa,"Bmg Rights Management Brasil Ltda.,Warner Chappell Edições Musicais Ltda.",Performance,Não,00:04:00,2020-12-13,-,-,Reprise,,TENTAÇÃO,T-322.163.164-3,True,artist_alias,ConsolidadoDiversos_Dezembro23
Multishow,2023-12-12,Tô De Graça,18.0,Xerecard,"Jeff Costa,Mc Danny",Mc Danny,"SONY MUSIC PUBLISHING (BRAZIL) EDIÇÕES MUSICAIS LTDA.,Unknown Publisher",Fundo Musical,Não,00:00:23,2022-07-20,-,-,Reprise,,XERECARD,T-305.213.989-2,True,artist_alias,ConsolidadoDiversos_Dezembro23
Multishow,2023-12-14,Tô De Graça,18.0,Xerecard,"Jeff Costa,Mc Danny",Mc Danny,"SONY MUSIC PUBLISHING (BRAZIL) EDIÇÕES MUSICAIS LTDA.,Unknown Publisher",Fundo Musical,Não,00:00:23,2022-07-20,-,-,Reprise,,XERECARD,T-305.213.989-2,True,artist_alias,ConsolidadoDiversos_Dezembro23
Multishow,2023-12-15,Humor Multishow - Tô De Graça,18.0,Xerecard,"Jeff Costa,Mc Danny",Mc Danny,"SONY MUSIC PUBLISHING (BRAZIL) EDIÇÕES MUSICAIS LTDA.,Unknown Publisher",Fundo Musical,Não,00:00:23,2022-07-20,-,-,Reprise,,XERECARD,T-305.213.989-2,True,artist_alias,ConsolidadoDiversos_Dezembro23
Multishow,2023-12-17,Tô De Graça,18.0,Xerecard,"Jeff Costa,Mc Danny",Mc Danny,"SONY MUSIC PUBLISHING (BRAZIL) EDIÇÕES MUSICAIS LTDA.,Unknown Publisher",Fundo Musical,Não,00:00:23,2022-07-20,-,-,Reprise,,XERECARD,T-305.213.989-2,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-14,Setlist,,Aquelas Coisas,João Marcelo Cardoso Ramalho,Choice,Universal Music Publishing Mgb Brasil Ltda.,Performance,,00:02:55,,,,,,AQUELAS COISAS,T-317.817.145-0,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-15,Setlist,,Aquelas Coisas,João Marcelo Cardoso Ramalho,Choice,Universal Music Publishing Mgb Brasil Ltda.,Performance,,00:02:55,,,,,,AQUELAS COISAS,T-317.817.145-0,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-16,Setlist,,Aquelas Coisas,João Marcelo Cardoso Ramalho,Choice,Universal Music Publishing Mgb Brasil Ltda.,Performance,,00:02:55,,,,,,AQUELAS COISAS,T-317.817.145-0,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-12-18,Setlist,,Aquelas Coisas,João Marcelo Cardoso Ramalho,Choice,Universal Music Publishing Mgb Brasil Ltda.,Performance,,00:02:55,,,,,,AQUELAS COISAS,T-317.817.145-0,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-11-07,Versões,9.0,Tentação,"Drik Barbosa,Grou,L1ra,Oz,Raoni Kanalha,Rdd,Thiago Dos Reis Pereira,Wallace Ferreira",Drik Barbosa,"Bmg Rights Management Brasil Ltda.,Warner Chappell Edições Musicais Ltda.",Performance,Não,00:04:00,2020-12-13,-,-,Reprise,,TENTAÇÃO,T-322.163.164-3,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-11-08,Versões,9.0,Tentação,"Drik Barbosa,Grou,L1ra,Oz,Raoni Kanalha,Rdd,Thiago Dos Reis Pereira,Wallace Ferreira",Drik Barbosa,"Bmg Rights Management Brasil Ltda.,Warner Chappell Edições Musicais Ltda.",Performance,Não,00:04:00,2020-12-13,-,-,Reprise,,TENTAÇÃO,T-322.163.164-3,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-11-11,Versões,9.0,Tentação,"Drik Barbosa,Grou,L1ra,Oz,Raoni Kanalha,Rdd,Thiago Dos Reis Pereira,Wallace Ferreira",Drik Barbosa,"Bmg Rights Management Brasil Ltda.,Warner Chappell Edições Musicais Ltda.",Performance,Não,00:04:00,2020-12-13,-,-,Reprise,,TENTAÇÃO,T-322.163.164-3,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-11-22,Experimente.,6.0,Jogo Da Vida,"Dante Augusto Lima Cabral Da Costa,Potyguara Bardo,Walther Nazario Da Silva Junior",Potyguara Bardo,Unknown Publisher,Performance,Não,00:04:21,2020-07-28,-,-,Reprise,,JOGO DA VIDA,T-306.795.376-4,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-11-23,Experimente.,6.0,Jogo Da Vida,"Dante Augusto Lima Cabral Da Costa,Potyguara Bardo,Walther Nazario Da Silva Junior",Potyguara Bardo,Unknown Publisher,Performance,Não,00:04:21,2020-07-28,-,-,Reprise,,JOGO DA VIDA,T-306.795.376-4,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-11-26,Experimente.,6.0,Jogo Da Vida,"Dante Augusto Lima Cabral Da Costa,Potyguara Bardo,Walther Nazario Da Silva Junior",Potyguara Bardo,Unknown Publisher,Performance,Não,00:04:21,2020-07-28,-,-,Reprise,,JOGO DA VIDA,T-306.795.376-4,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-11-30,Versões,2.0,Deja Vu,"Peu Souza,Pitty",Day,"Bmg Rights Management Brasil Ltda.,Warner Chappell Edições Musicais Ltda.",Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,DÉJÀ VU,T-308.187.765-4,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-11-30,Versões,2.0,Máscara,Pitty,Day,Deck Producoes Artisticas Ltda,Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,MÁSCARA,,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-11-30,Versões,2.0,Teto De Vidro,Pitty,Day,Deck Producoes Artisticas Ltda,Performance,Não,00:04:00,2020-11-25,-,-,Reprise,,TETO DE VIDRO,T-321.537.364-7,True,artist_alias,ConsolidadoDiversos_Dezembro23
Multishow,2023-11-21,Humor Multishow - Tô De Graça,18.0,Xerecard,"Jeff Costa,Mc Danny",Mc Danny,"SONY MUSIC PUBLISHING (BRAZIL) EDIÇÕES MUSICAIS LTDA.,Unknown Publisher",Fundo Musical,Não,00:00:23,2022-07-20,-,-,Reprise,,XERECARD,T-305.213.989-2,True,artist_alias,ConsolidadoDiversos_Dezembro23
Multishow,2023-11-28,Lady Night - Com Tatá Werneck,10.0,Mistério,"Ivete Sangalo,Samir Trindade",Ivete Sangalo,"IESSI MUSIC LABEL LTDA,Unknown Publisher,Warner Chappell Edições Musicais Ltda.",Fundo Musical,Não,00:00:11,2022-12-02,-,-,Reprise,,MISTERIO,T-040.150.639-5,True,artist_alias,ConsolidadoDiversos_Dezembro23
OFF,2023-11-02,Pela Rua,4.0,Ritual,"Leonardo Irian,Neto",Síntese,Unknown Publisher,Fundo Musical,Não,00:01:42,2022-03-30,-,-,Reprise,,RITUAL,T-040.150.641-9,True,artist_alias,ConsolidadoDiversos_Dezembro23
OFF,2023-11-03,Pela Rua,4.0,Ritual,"Leonardo Irian,Neto",Síntese,Unknown Publisher,Fundo Musical,Não,00:01:42,2022-03-30,-,-,Reprise,,RITUAL,T-040.150.641-9,True,artist_alias,ConsolidadoDiversos_Dezembro23
OFF,2023-11-04,Pela Rua,4.0,Ritual,"Leonardo Irian,Neto",Síntese,Unknown Publisher,Fundo Musical,Não,00:01:42,2022-03-30,-,-,Reprise,,RITUAL,T-040.150.641-9,True,artist_alias,ConsolidadoDiversos_Dezembro23
OFF,2023-11-05,Pela Rua,4.0,Ritual,"Leonardo Irian,Neto",Síntese,Unknown Publisher,Fundo Musical,Não,00:01:42,2022-03-30,-,-,Reprise,,RITUAL,T-040.150.641-9,True,artist_alias,ConsolidadoDiversos_Dezembro23
OFF,2023-11-06,Pela Rua,4.0,Ritual,"Leonardo Irian,Neto",Síntese,Unknown Publisher,Fundo Musical,Não,00:01:42,2022-03-30,-,-,Reprise,,RITUAL,T-040.150.641-9,True,artist_alias,ConsolidadoDiversos_Dezembro23
OFF,2023-11-07,Pela Rua,4.0,Ritual,"Leonardo Irian,Neto",Síntese,Unknown Publisher,Fundo Musical,Não,00:01:42,2022-03-30,-,-,Reprise,,RITUAL,T-040.150.641-9,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-11-28,Setlist - Choice - Aquelas Coisas,,Aquelas Coisas,João Marcelo Cardoso Ramalho,Choice,Universal Music Publishing Mgb Brasil Ltda.,Performance,,00:02:55,,,,Inédito,,AQUELAS COISAS,T-317.817.145-0,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-11-29,Setlist - Choice - Aquelas Coisas,,Aquelas Coisas,João Marcelo Cardoso Ramalho,Choice,Universal Music Publishing Mgb Brasil Ltda.,Performance,,00:02:55,,,,Inédito,,AQUELAS COISAS,T-317.817.145-0,True,artist_alias,ConsolidadoDiversos_Dezembro23
BIS,2023-11-30,Setlist - Choice - Aquelas Coisas,,Aquelas Coisas,João Marcelo Cardoso Ramalho,Choice,Universal Music Publishing Mgb Brasil Ltda.,Performance,,00:02:55,,,,Inédito,,AQUELAS COISAS,T-317.817.145-0,True,artist_alias,ConsolidadoDiversos_Dezembro23
