title,author
!MECHA!,
#AKUMASBEIZEBLACKINJAZZ,
#CDV (CIRCULO DA VIDA),
#LIVREPARATODOS,T-308.377.754-8
#MONTICOISANOBOLSODOCHERNOBYL,T-040.441.668-7
$PORT$UJO,T-310.338.386-0
$UAVONT$,T-301.718.602-2
(...),T-315.588.669-0
(DES)OBEDECER,T-316.113.148-8
(ESSA NOITE) A CASA E NOSSA,
(EU SEI) VOCÊ ESQUECEU,T-039.781.842-6
(NUNCA) É TARDE PRA NÓS DOIS,T-319.400.715-9
(NÃO) VOU TE ESPERAR,T-312.565.338-1
(PRIMEIRO) MUSIQUINHA PRA HANNA,T-324.606.155-8
+ QUE 1 AMIGO,T-039.900.035-1
+Q1 VANESSA - OU O VANESSA,T-040.059.522-3
... OU PROVAVELMENTE EU ESTAREI DORMINDO,
00:00:00,
061 FREESTYLE,T-331.024.712-8
081 DDD,T-301.718.606-6
1 DE AGOSTO,T-330.191.326-4
1 PRA 1,T-305.622.797-1
1 X 1,T-312.557.240-5
10 MINUTINHOS DOS FUNKS MAIS TOCADOS X,
100 COISAS PRA FAZER,
100 OLHAR,T-040.193.799-2
1000º,
12 X U,T-316.010.014-7
13KG,
14,
15 MATINADAS,T-932.504.058-2
157,T-317.923.803-6
157,T-335.571.843-9
157 DE XOXOTA,T-309.991.456-0
160 EQUIPADA,T-312.557.267-6
19,T-301.569.525-3
1904 ALARM,T-328.725.827-5
1996,T-039.405.579-8
2 X 2 MEU AMOR,T-312.557.279-0
20,
20 DE CADA,T-316.009.898-2
200 ONÇAS,
200 POR HORA,T-315.912.806-6
200 POR MINUTO,
200GR DE PMA,T-327.440.906-8
2012,T-040.347.904-8
2012,T-040.275.782-7
2020,T-301.721.117-1
2020,
2020 NUMA CASCA DE NOZ,
20VINCI,
22 ANOS,T-039.497.750-4
24 HORAS,T-325.559.559-2
24H,T-301.577.020-0
"25 É NATAL, 31 É ANO NOVO",T-319.461.096-9
3 MACETES,
3 MESES,T-039.632.961-5
3 PONTAS,
3 PRA 3,T-305.217.380-1
30KG DE MERDA,T-932.331.960-4
32 BARRAS,T-329.283.610-9
360,T-305.264.571-9
4 BARCAS,T-307.297.652-0
4 TONS,T-303.384.501-7
44444,T-333.217.346-9
44444 - VOLAC REMIX,
04:20:00,T-303.776.040-6
04:20:00,T-307.297.788-5
4DAMANHA,T-315.496.116-3
4º ANDAR,
5 ESTRELAS,
5 MINUTOS,T-306.925.953-2
5-6,T-309.423.402-9
50 VICIADOS EM UM BASEADO,T-306.794.551-7
50-50,
505 FASHION,T-328.638.280-3
567,T-301.569.530-0
5HR DA MANHÃ,T-327.279.630-8
600 MEU AMOR,T-932.331.989-7
62 BEATS,T-312.557.297-2
PSEUDÔNIMO,NOME DO TITULAR
62 BEATS DOMINA GOIÂNIA 1,T-312.557.321-5
ESTELITA,EDUARDO MELO PEREIRA LTDA
62 BEATS DOMINA GOIÂNIA 2,T-312.556.726-8
62 BEATS MAIOR DE GOIÂNIA,T-312.556.753-1
62 BETS DESTRUIU,T-313.795.929-2
655321,T-039.311.530-4
OLELE MUSIC,OLELE MUSIC PRODUCAO MUSICAL LTDA
YURI NISHIDA,YURI HIDEKI NISHIDA
7 A 1,T-932.331.959-1
GUILHERME ELIAS,GUILHERME CARVALHO NOYA ELIAS
LEEO MESQUITA,LEONARDO HANNA MESQUITA
7 CHAVES,T-335.571.842-8
LK MC,LUCAS DE LIMA SANTISSIMO
7 ERROS,T-335.571.841-7
7 ESFERAS,T-335.571.839-3
7 VIDAS,T-330.191.327-5
ANDREZ MACHADO,ANDREZ MALTA MACHADO
ARTHUR RAMOS,ARTHUR RAMOS CUNHA
DODO D AVILA,CLAUDIO ANDRE DE ANGELIS TAFFAREL
GUSTAVO VARGAS,GUSTAVO STEIN VARGAS
762,
8 CORRENTES,T-325.044.684-1
VICTOR XAMA,VICTOR GARCIA DE ALMEIDA
83 BEATS NOSSO AMOR,T-312.556.773-5
8669,T-311.567.878-5
MC CASO,EWERTON MENDES DA SILVA
88888888,
9 A.M,T-313.272.132-1
9 DO BANDIDO,
91 DIAS DEPOIS,T-332.348.817-7
95S,T-333.571.076-0
99,
09:00:00,T-301.577.029-9
A ARTE DE CRESCER,
A ARVORE DOS ENCANTADOS,T-039.296.552-4
A BALADA CAVERNOSA,T-325.193.805-9
A BEND INTHE RIVER,
A BOSTA HUMANA,T-330.774.756-0
A BRABA,
A BRUXA E A FADA,T-311.569.040-5
A CACHORRADA DO BAILE,T-310.670.101-9
A CADA PASSO,T-316.303.325-4
A CARA DO DEBOCHE,T-306.358.170-0
A CENA DO SEU ENFORCAMENTO,T-040.479.382-3
A CHANCE EM UM MILHÃO (ITADORI YUJI),T-327.329.644-5
A CHEGADA DE ZE DO NE NA LAGOA DE DENTRO,T-039.272.387-3
A CHUVA CAI LÁ FORA,
A COLA,T-039.593.536-0
A CONCORDANCIA,T-040.076.559-4
A CONSEQUÊNCIA DA VERDADE,T-308.377.756-0
A COR DO MEDO (JACK X HÉRCULES),
A CRISE CHEGOU A CLASSE MEDIA,T-300.969.223-9
A CRISE CHEGOU A CLASSE MEDIA - TRANSEI -,T-311.606.399-7
A CULPA NÃO É MINHA,T-310.670.108-6
A CURANDEIRA,T-307.298.917-0
A DANÇA,T-309.492.339-0
A DANÇA DOS PLANETAS,T-040.275.772-5
A DESTRUIÇÃO | BILLS,T-333.819.475-1
A DEUSA DO TROVÃO,
A DISPUTA,T-040.453.904-3
A DOR DO OUTRO,T-040.140.013-2
A DUPLA DO MOMENTO,T-312.557.221-2
A ERA DE KHONSHU,
A ESCOLHIDA,T-313.324.585-5
A FADINHA SE ENCANTOU,T-303.761.705-9
A FARSA DO ENTRETENIMENTO,T-316.010.013-6
A FINA IRONIA DIVINA,T-310.455.811-0
A FIRMA É FORTE,T-312.557.230-3
A FLOR DA PELE,
A FRONHA DO MEU TRAVESSEIRO,T-325.558.972-7
A FRONTEIRA,
A GENTE CHEGA,
A GENTE ESCAMA,T-311.569.045-0
A GENTE MORRE SOZINHO,T-039.721.690-8
A GENTE SE TEM,T-324.176.744-8
A GRANDE LUA,T-333.684.901-1
A GUERRA PERDIDA,
A HORA DOS MAGOS,T-039.844.466-0
A KIND OF BLUE,T-039.948.015-9
A LA MINUTA,T-039.954.620-3
A LEI,T-301.721.205-0
A LEI DA DUVIDA,T-040.429.753-5
A LISTA DAS BANDIDAS,T-301.721.121-7
A LUZ RESPLANDECE,T-327.329.643-4
A LÍNGUA DOS ORGASMOS,
A MAIOR DO PIAUÍ BET934,T-315.906.862-5
A MAIS BELA DEVORADORA DE VAIDADES,T-327.329.650-3
A MAIS LINDA DO VERÃO,T-307.418.154-3
A MALDIÇÃO DO AMOR (YUTA),
A MAQUINA,T-039.497.769-5
A MAQUINA QUE SONHA COLORIDO,T-039.544.556-3
A MARCA DO MOMENTO,T-312.557.245-0
A MARCHA DO CÃO,
A MATADEIRA,T-039.268.960-9
A MELHOR COISA DO MUNDO,T-315.045.486-3
A MELHOR DO BAILE,T-303.015.587-0
A MELHOR VERSÃO DE MIM,
A METÁFORA NEM SEMPRE SERVE,T-040.160.950-4
A MINA,T-301.567.086-3
A MODA,
A MORTE DO MESSIAS,T-316.009.971-4
A MORTE PEDE CARONA,T-302.003.933-8
A MORTE PEDE CARONA (INSTRUMENTAL),T-301.178.813-5
A MOÇA QUE EU VI NA TV,T-313.414.037-3
A MUSA QUE ME QUER ASSIM,T-039.829.758-9
A MÚSICA MAIS INSPIRADORA DO SÉCULO XXI,T-301.721.202-7
A MÚSICA MAIS VIOLENTA DA COLETÂNEA DO,T-330.774.843-8
A NOITE NÃO É DE NINGUÉM,T-040.226.894-3
A NORDESTINA,T-040.453.897-1
A NOVA 1,T-039.748.719-2
A ONDA DAS NOVINHAS,T-040.166.263-2
A PEDRA,T-039.823.133-8
A PEÇA NA CINTURA,T-311.602.303-7
A PIADA E ESSA,
A PIOR MENTIRA,T-308.466.948-3
A PRECE,T-308.633.926-2
A PRINCESA E O PLEBEU,T-040.247.471-8
A PROCURA DE AVENTURA,
A RABA,T-305.213.854-8
A REDE,T-039.877.781-5
A RESENHA DO HOMEM GOL,T-303.014.039-3
A RESSURREIÇÃO,T-327.329.642-3
A RUA SABE,T-307.298.918-1
A RUPTURA DA LINEARIDADE DO TEMPO,
A SAFADEZA COMEÇOU,T-310.670.111-1
A SALA AZUL,T-039.325.366-1
A SECA,T-333.177.117-2
A SETE PALMOS DO CHÃO,T-330.774.755-9
A SONG OF INCUBATING DESPOTISM,
A TEMPESTADE,T-302.000.830-0
A TROCO DE NADA,T-040.429.752-4
