title,artist,iswc,isrc,source,basis
3793851,RAIMUNDO NONATO DE OLIVEIRA; EDUARDO MELO PEREIRA LTDA; NONATO LUIZ,,BR-TVW-13-00038,FONOGRAMAS,LIBERADO+MENTION
3793850,RAIMUNDO NONATO DE OLIVEIRA; EDUARDO MELO PEREIRA LTDA; NONATO LUIZ,,BR-TVW-13-00037,FONOGRAMAS,LIBERADO+MENTION
3793857,RAIMUNDO NONATO DE OLIVEIRA; EDUARDO MELO PEREIRA LTDA; NONATO LUIZ,,BR-TVW-13-00044,FONOGRAMAS,LIBERADO+MENTION
3793858,RAIMUNDO NONATO DE OLIVEIRA; EDUARDO MELO PEREIRA LTDA; NONATO LUIZ,,BR-TVW-13-00045,FONOGRAMAS,LIBERADO+MENTION
3793852,RAIMUNDO NONATO DE OLIVEIRA; EDUARDO MELO PEREIRA LTDA; NONATO LUIZ,,BR-TVW-13-00039,FONOGRAMAS,LIBERADO+MENTION
3793856,RAIMUNDO NONATO DE OLIVEIRA; EDUARDO MELO PEREIRA LTDA; NONATO LUIZ,,BR-TVW-13-00043,FONOGRAMAS,LIBERADO+MENTION
ESTELITA,,,,OBRAS,UBC
OLELE MUSIC,,,,OBRAS,UBC
YURI NISHIDA,,,,OBRAS,UBC
GUILHERME ELIAS,,,,OBRAS,UBC
LEEO MESQUITA,,,,OBRAS,UBC
ARTHUR RAMOS,,,,OBRAS,UBC
GUSTAVO VARGAS,,,,OBRAS,UBC
VICTOR XAMA,,,,OBRAS,UBC
MC CASO,,,,OBRAS,UBC
MARCELO GRANJA,,,,OBRAS,UBC
MANEIRINHO NA VOZ,,,,OBRAS,UBC
SHEVCHENKO,,,,OBRAS,UBC
LEX CLASH,,,,OBRAS,UBC
CH DA ZO,,,,OBRAS,UBC
MC GW,,,,OBRAS,UBC
MC 10G,,,,OBRAS,UBC
SAPAO DO RECIFE,,,,OBRAS,UBC
RESUMO,,,,OBRAS,UBC
TULIO,,,,OBRAS,UBC
CLAYTON BARROS,,,,OBRAS,UBC
ZERO PACCELI,,,,OBRAS,UBC
BALAKINHA,,,,OBRAS,UBC
NEXOANEXO,,,,OBRAS,UBC
MC DANADO DO RECIFE,,,,OBRAS,UBC
