provider,file_stem,title,artist,valor_text,Valor (BRL),"Valor (BRL, sem centavos)",amount_cents
SBT,Unificado SBT nov dez 23 e jan fev mar 24,ABISMO,BRUNO RIGAMONTE CARNEIRO / EMANUELLA TENORIO ROCHA / RICARDUS MAXIMUS MIRANDA DA CUNHA JUNIOR / THALLYSON LIMA,"799,71",799.71,799,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,ANOITECEU,ASSIS VALENTE,"1599,43",1599.43,1599,159943
SBT,Unificado SBT nov dez 23 e jan fev mar 24,HEY JOE,BILLY ROBERTS,"799,71",799.71,799,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,NEGA,TARCISIO DO ACORDEON,"799,71",799.71,799,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,"599,79",599.79,599,59979
SBT,Unificado SBT nov dez 23 e jan fev mar 24,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,"799,72",799.72,799,79972
SBT,Unificado SBT nov dez 23 e jan fev mar 24,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,"199,93",199.93,199,19993
SBT,Unificado SBT nov dez 23 e jan fev mar 24,NOITE,JOSE DIVINO NEVES / ANTONIO DOMICIANO,"799,71",799.71,799,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,DIANA,FRED JORGE / PAUL ANKA,"799,71",799.71,799,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SEBASTIANA,ROSIL CAVALCANTI,"799,71",799.71,799,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SEM SENTIMENTO,DG / BATIDAO STRONDA / FELIPE AMORIM / MC DANNY,"799,71",799.71,799,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,DOMINGO,SERGIO BRITTO / TONI BELLOTTO,"1599,43",1599.43,1599,159943
SBT,Unificado SBT nov dez 23 e jan fev mar 24,CORAÇÃO,DORGIVAL DANTAS,"799,71",799.71,799,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,DO LADO DE CÁ,FABRICIO DE GAMBOGI / GISELE DE SANTI,"799,72",799.72,799,79972
SBT,Unificado SBT nov dez 23 e jan fev mar 24,DO LADO DE CÁ,FABRICIO DE GAMBOGI / GISELE DE SANTI,"799,72",799.72,799,79972
SBT,Unificado SBT nov dez 23 e jan fev mar 24,FELICIDADE,GABRIEL DE MOURA PASSOS / ANGELO VITOR SIMPLICIO DA SILVA / JORGE MARIO DA SILVA / JORGE LEANDRO PEREIRA DA SILVA,"799,72",799.72,799,79972
SBT,Unificado SBT nov dez 23 e jan fev mar 24,FELICIDADE,GABRIEL DE MOURA PASSOS / ANGELO VITOR SIMPLICIO DA SILVA / JORGE MARIO DA SILVA / JORGE LEANDRO PEREIRA DA SILVA,"799,72",799.72,799,79972
SBT,Unificado SBT nov dez 23 e jan fev mar 24,CINDERELA,ADELINO MOREIRA,"1599,43",1599.43,1599,159943
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,"533,09",533.09,533,53309
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,"266,62",266.62,266,26662
SBT,Unificado SBT nov dez 23 e jan fev mar 24,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,"299,89",299.89,299,29989
SBT,Unificado SBT nov dez 23 e jan fev mar 24,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,"399,86",399.86,399,39986
SBT,Unificado SBT nov dez 23 e jan fev mar 24,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,"99,96",99.96,99,9996
SBT,Unificado SBT nov dez 23 e jan fev mar 24,AQUELAS COISAS,DANIEL MENDES DE ARAUJO DANTAS DANIEL MENDES / WASHINGTON VIEIRA FRAGA JUNIOR,"799,71",799.71,799,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VIDA LOKA,PEDRO PAULO SOARES PEREIRA,"399,86",399.86,399,39986
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VIDA LOKA,PEDRO PAULO SOARES PEREIRA,"399,86",399.86,399,39986
SBT,Unificado SBT nov dez 23 e jan fev mar 24,DIANA,FRED JORGE / PAUL ANKA,"799,71",799.71,799,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,OI,BRUNO CALIMAN,"799,71",799.71,799,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VERMELHO,GLORIA GROOVE / MC DALESTE / PABLO BISPO / RUXELL,"799,71",799.71,799,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,FICA,ANA CLARA CAETANO,"1599,43",1599.43,1599,159943
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VERDADE,CARLINHOS SANTANA / NELSON RUFINO,"799,72",799.72,799,79972
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VERDADE,CARLINHOS SANTANA / NELSON RUFINO,"799,72",799.72,799,79972
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VAGALUMES,LUIZ TOMIM / IVO MOZART / ADRIEL MENEZES / LEONARDO HENRIQUE VEREDA CUNHA,"538,53",538.53,538,53853
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VAGALUMES,LUIZ TOMIM / IVO MOZART / ADRIEL MENEZES / LEONARDO HENRIQUE VEREDA CUNHA,"799,72",799.72,799,79972
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VAGALUMES,LUIZ TOMIM / IVO MOZART / ADRIEL MENEZES / LEONARDO HENRIQUE VEREDA CUNHA,"261,19",261.19,261,26119
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MORENA,BRENO CESAR LOLLI / DIEGO ITALLO RODRIGUES DE SOUZA / LUAN RAFAEL DOMINGOS SANTANA / LUCAS GONCALVES / SHYLTON FERNANDES SOUSA AQUINO,"79,97",79.97,79,7997
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MORENA,BRENO CESAR LOLLI / DIEGO ITALLO RODRIGUES DE SOUZA / LUAN RAFAEL DOMINGOS SANTANA / LUCAS GONCALVES / SHYLTON FERNANDES SOUSA AQUINO,"1519,46",1519.46,1519,151946
SBT,Unificado SBT nov dez 23 e jan fev mar 24,TETO DE VIDRO,PITTY,"799,71",799.71,799,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VAMOS FUGIR,LIMINHA / GILBERTO GIL,"399,86",399.86,399,39986
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VAMOS FUGIR,LIMINHA / GILBERTO GIL,"399,86",399.86,399,39986
SBT,Unificado SBT nov dez 23 e jan fev mar 24,ERA UMA VEZ,KELL SMITH,"799,71",799.71,799,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,BRISA,IZA / PABLO LUIZ BISPO / RUXELL / SERGIO SANTOS,"1199,57",1199.57,1199,119957
SBT,Unificado SBT nov dez 23 e jan fev mar 24,BRISA,IZA / PABLO LUIZ BISPO / RUXELL / SERGIO SANTOS,"399,86",399.86,399,39986
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VERDADE,CARLINHOS SANTANA / NELSON RUFINO,"399,86",399.86,399,39986
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VERDADE,CARLINHOS SANTANA / NELSON RUFINO,"399,86",399.86,399,39986
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SENTADAO,ARTHUR RAMOS / EDU NOBRE / TIE CASTRO,"373,70",373.70,373,37370
SBT,Unificado SBT nov dez 23 e jan fev mar 24,GIRASSOL,PRISCILLA ALCANTARA / WHINDERSSON NUNES,"373,70",373.70,373,37370
SBT,Unificado SBT nov dez 23 e jan fev mar 24,BALMAIN,MC DANIEL / VINICIUS DOS SANTOS LESSA,"1599,43",1599.43,1599,159943
SBT,Unificado SBT nov dez 23 e jan fev mar 24,PRIMAVERA,CASSIANO / SILVIO ROCHAEL,"1599,43",1599.43,1599,159943
SBT,Unificado SBT nov dez 23 e jan fev mar 24,ANOITECEU,ASSIS VALENTE,"1599,43",1599.43,1599,159943
SBT,Unificado SBT nov dez 23 e jan fev mar 24,ANOITECEU,ASSIS VALENTE,"799,71",799.71,799,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,GIRASSOL,WHINDERSSON NUNES,"799,71",799.71,799,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,GIRASSOL,ANDRE FARIAS / ANTONIO FILHO / MARCOS CRUZ / PAULO GAMA / PEDRO LUIS TEIXEIRA DE OLIVEIRA,"159,94",159.94,159,15994
SBT,Unificado SBT nov dez 23 e jan fev mar 24,GIRASSOL,ANDRE FARIAS / ANTONIO FILHO / MARCOS CRUZ / PAULO GAMA / PEDRO LUIS TEIXEIRA DE OLIVEIRA,"639,77",639.77,639,63977
SBT,Unificado SBT nov dez 23 e jan fev mar 24,PAPI,Hajji Bilal / Jannusi Achraf / Jannusi Novel Naoufal / Khayat Nadir / Sandell Geraldo Jacop / Thornfeldt Jimmy Paul,"1599,43",1599.43,1599,159943
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SOU EU,CARLOS PEDRO / ED WILSON,"199,93",199.93,199,19993
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SOU EU,CARLOS PEDRO / ED WILSON,"199,93",199.93,199,19993
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SOU EU,CARLOS PEDRO / ED WILSON,"399,86",399.86,399,39986
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SE FOI,BRUNO DE OLIVEIRA CORREA,"799,71",799.71,799,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MEIA NOITE,VALTER DANADAO / ZE MALHADA,"799,71",799.71,799,79971
