provider,file_stem,EDITORA,PROGRAMA,NÚMERO PROGRAMA,EXIBIÇÃO (GRAVADO OU REPRISE),"CATEGORIA DO PROGRAMA (PROGRAMA, NOVELA)",DATA DE EXIBIÇÃO,NOME DA MÚSICA,AUTOR,INTERPRETE,TIPO DE SINCRONIZAÇÃO,PERCENTUAL A PAGAR - EDITORA,VALOR A PAGAR - EDITORA,amount_numeric,amount_cents
SBT,Unificado SBT nov dez 23 e jan fev mar 24,BMG RIGHTS MANAGEMENT BRASIL LTDA,THE NOITE,2471,GRAVADO,PROGRAMA,14/12/2023,ABISMO,BRUNO RIGAMONTE CARNEIRO / EMANUELLA TENORIO ROCHA / RICARDUS MAXIMUS MIRANDA DA CUNHA JUNIOR / THALLYSON LIMA,MANU BAHTIDÃO,PERFORMANCE,100.00%,"799,71",799.71,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,IRMÃOS VITALE EDITORES LTDA,ESPECIAL NATAL CIRCO,1,GRAVADO,PROGRAMA,25/12/2023,ANOITECEU,ASSIS VALENTE,ASSIS VALENTE,FUNDO MUSICAL,100.00%,"1599,43",1599.43,159943
SBT,Unificado SBT nov dez 23 e jan fev mar 24,BMG RIGHTS MANAGEMENT BRASIL LTDA,THE NOITE,2467,GRAVADO,PROGRAMA,08/12/2023,HEY JOE,BILLY ROBERTS,ULTRAJE A RIGOR,PERFORMANCE,100.00%,"799,71",799.71,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,DIVERSAS,PROGRAMA DO RATINHO,3449,GRAVADO,PROGRAMA,06/12/2023,NEGA,TARCISIO DO ACORDEON,NOVA BANDA DO RATINHO,PERFORMANCE,100.00%,"799,71",799.71,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,ADDAF - ASS. DEF. DIREITOS AUTORAIS FONOMECÂNICOS,PROGRAMA DO RATINHO,3449,GRAVADO,PROGRAMA,06/12/2023,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,VALESKA POPOZUDA,FUNDO MUSICAL,37.50%,"599,79",599.79,59979
SBT,Unificado SBT nov dez 23 e jan fev mar 24,WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO,3449,GRAVADO,PROGRAMA,06/12/2023,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,VALESKA POPOZUDA,FUNDO MUSICAL,50.00%,"799,72",799.72,79972
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO,3449,GRAVADO,PROGRAMA,06/12/2023,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,VALESKA POPOZUDA,FUNDO MUSICAL,12.50%,"199,93",199.93,19993
SBT,Unificado SBT nov dez 23 e jan fev mar 24,IRMÃOS VITALE EDITORES LTDA,PROGRAMA DO RATINHO,3451,GRAVADO,PROGRAMA,08/12/2023,NOITE,JOSE DIVINO NEVES / ANTONIO DOMICIANO,NILSINHO E CESAR MENOTTI,PERFORMANCE,100.00%,"799,71",799.71,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO,3456,GRAVADO,PROGRAMA,15/12/2023,DIANA,FRED JORGE / PAUL ANKA,NOVA BANDA DO RATINHO,PERFORMANCE,100.00%,"799,71",799.71,79971
SBT,Unificado SBT nov dez 23 e jan fev mar 24,IRMÃOS VITALE EDITORES LTDA,PROGRAMA DO RATINHO,3461,GRAVADO,PROGRAMA,29/12/2023,SEBASTIANA,ROSIL CAVALCANTI,NOVA BANDA DO RATINHO,PERFORMANCE,100.00%,"799,71",799.71,79971
