provider,file_stem,EDITORA,AUTOR,INTERPRETE,__source_sheet,amount_cents,amount_int,PROGRAMA,amount_numeric
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23,MC BIGODINHO,MC BIGODINHO,MC TETEU,MusicCueSheet_Globoplay_Nov23,0,0,,0.00
Globo Unificado nov dez2023,Globo Unificado nov dez2023,,,,CanalInternacional_Dezembro2023,0,0,,0.00
Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023,,,,ConsolidadoDiversos_Dezembro23,0,0,,0.00
Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023,,,,ConsolidadoDiversos_Dezembro23,0,0,,0.00
Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023,,,,ConsolidadoDiversos_Dezembro23,0,0,,0.00
Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023,,,,ConsolidadoDiversos_Dezembro23,0,0,,0.00
Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023,,,,ConsolidadoDiversos_Dezembro23,0,0,,0.00
Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023,,,,ConsolidadoDiversos_Dezembro23,0,0,,0.00
Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023,,,,ConsolidadoDiversos_Dezembro23,0,0,,0.00
Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023,,,,ConsolidadoDiversos_Dezembro23,0,0,,0.00
Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023,,,,ConsolidadoDiversos_Dezembro23,0,0,,0.00
Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023,,,,ConsolidadoDiversos_Dezembro23,0,0,,0.00
Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023,,,,ConsolidadoDiversos_Dezembro23,0,0,,0.00
Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023,,,,ConsolidadoDiversos_Dezembro23,0,0,,0.00
Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023,,,,ConsolidadoDiversos_Dezembro23,0,0,,0.00
Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023,,,,ConsolidadoDiversos_Dezembro23,0,0,,0.00
