provider,file_stem,explicit_rows,alias_rows,explicit_amount_rows,alias_amount_rows,sum_valor_brl_explicit,sum_valor_brl_alias,has_any_amounts
,CanalBrasil unificado Jan fev mar24 dez 2023,0,12,0,0,0.00,0.00,False
,Clipes Unificados_nov Dez 2023,0,596,0,0,0.00,0.00,False
,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,0,150,0,0,0.00,0.00,False
,Globo Unificado nov dez2023,0,175,0,0,0.00,0.00,False
,SBT Unificado  nov dez 23 e jan fev mar 24,0,60,0,60,0.00,57485.65,True
,Tv Aparecida Unificado  Dez 2023 jan mar 2024,0,2,0,0,0.00,0.00,False
Aparecida,01-JAN2024-SINCRONIZACAO MUSICAL-TV APARECIDA,0,0,0,0,0.00,0.00,False
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,0,0,0,0,0.00,0.00,False
Aparecida,12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA,0,0,0,0,0.00,0.00,False
Band,band UNIFICADO out dez 2023 jan fev 2024,0,50,0,50,0.00,4738.42,True
Canal Brasil,Relatorio_CanalBrasil_Jan24,0,0,0,0,0.00,0.00,False
Canal Brasil,Ubem_CanalBrasil_Fev24 (1),0,0,0,0,0.00,0.00,False
Canal Brasil,Ubem_CanalBrasil_Março24 (1),0,0,0,0,0.00,0.00,False
Desconhecido,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24,0,3,0,0,0.00,0.00,False
Globo,MusicCueSheet_TvAberta_Agosto2023,0,24,0,0,0.00,0.00,False
Globo,MusicCueSheet_TvAberta_Outubro2023,0,61,0,0,0.00,0.00,False
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23,1,0,0,0,0.00,0.00,False
SBT,Unificado SBT nov dez 23 e jan fev mar 24,4,56,4,56,6693.24,50792.41,True
