provider,files,matches_rows,eligible_explicit_rows,eligible_alias_rows,sum_valor_brl_explicit
Aparecida,3,42,0,0,0.00
Canal Brasil,3,3,0,0,0.00
CanalBrasil unificado Jan fev mar24 dez 2023,1,0,0,12,0.00
Clipes Unificados_nov Dez 2023,1,0,41,555,0.00
Desconhecido,1,4,0,3,0.00
Globo,3,109,1,85,0.00
Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,1,0,1,149,0.00
Globo Unificado nov dez2023,1,0,1,174,0.00
SBT,1,188,4,56,6693.24
SBT Unificado  nov dez 23 e jan fev mar 24,1,0,4,56,6693.24
Tv Aparecida Unificado  Dez 2023 jan mar 2024,1,0,0,2,0.00
band UNIFICADO out dez 2023 jan fev 2024,1,113,8,43,418.56
