Mês Exibição,Gênero,Programa,Episódio,Capítulo,Data Exibição,Música,Autores da Música,Sincronismo TVG,Acervo Sim ou Não?,Autor,Editora,% do Autor,Interprete,Reprise,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
DEZ/2023,VARIEDADE SEMANAL,SHOW DA VIRADA,,2023,31/12/2023,AMERICANA NA VAQUEJADA,"ANTONIO MENDES ALVES - A DESCOBRIR (33,33%)
BRUNO HENRIQUE SANTOS DA SILVA - A DESCOBRIR (33,33%)
ERLANDERSON MATOS PEREIRA SILVA - A DESCOBRIR (33,34%)",PERFORMANCE,NÃO,ERLANDERSON MATOS PEREIRA SILVA,A DESCOBRIR,"33,34",NATTAN,Não,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,VARIEDADE SEMANAL,SHOW DA VIRADA,,2023,31/12/2023,AMERICANA NA VAQUEJADA,"ANTONIO MENDES ALVES - A DESCOBRIR (33,33%)
BRUNO HENRIQUE SANTOS DA SILVA - A DESCOBRIR (33,33%)
ERLANDERSON MATOS PEREIRA SILVA - A DESCOBRIR (33,34%)",PERFORMANCE,NÃO,ANTONIO MENDES ALVES,A DESCOBRIR,"33,33",NATTAN,Não,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,VARIEDADE SEMANAL,SHOW DA VIRADA,,2023,31/12/2023,AMERICANA NA VAQUEJADA,"ANTONIO MENDES ALVES - A DESCOBRIR (33,33%)
BRUNO HENRIQUE SANTOS DA SILVA - A DESCOBRIR (33,33%)
ERLANDERSON MATOS PEREIRA SILVA - A DESCOBRIR (33,34%)",PERFORMANCE,NÃO,BRUNO HENRIQUE SANTOS DA SILVA,A DESCOBRIR,"33,33",NATTAN,Não,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,VARIEDADE SEMANAL,SHOW DA VIRADA,,2023,31/12/2023,LOVE GOSTOSINHO,"CLEBER DO CARMO COSTA - A DESCOBRIR (50%)
EMANUEL DIAS ALBINO - A DESCOBRIR (50%)",PERFORMANCE,NÃO,CLEBER DO CARMO COSTA,A DESCOBRIR,50,NATTAN,Não,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,VARIEDADE SEMANAL,SHOW DA VIRADA,,2023,31/12/2023,LOVE GOSTOSINHO,"CLEBER DO CARMO COSTA - A DESCOBRIR (50%)
EMANUEL DIAS ALBINO - A DESCOBRIR (50%)",PERFORMANCE,NÃO,EMANUEL DIAS ALBINO,A DESCOBRIR,50,NATTAN,Não,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,VARIEDADE SEMANAL,SHOW DA VIRADA,,2023,31/12/2023,TEM CABARE ESSA NOITE,"D LESLY LORA - SONY MUSIC PUBLISHING (19,99%)
FLAVINHO DO KADET - SONY MUSIC PUBLISHING (,01%)
GEOFFREY ROJAS - PEERMUSIC (40%)
YONATHAN MICKEY THEN JAQUEZ - WARNER CHAPPELL (40%)",PERFORMANCE,NÃO,GEOFFREY ROJAS,PEERMUSIC,40,NATTAN,Não,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,VARIEDADE SEMANAL,SHOW DA VIRADA,,2023,31/12/2023,TEM CABARE ESSA NOITE,"D LESLY LORA - SONY MUSIC PUBLISHING (19,99%)
FLAVINHO DO KADET - SONY MUSIC PUBLISHING (,01%)
GEOFFREY ROJAS - PEERMUSIC (40%)
YONATHAN MICKEY THEN JAQUEZ - WARNER CHAPPELL (40%)",PERFORMANCE,NÃO,FLAVINHO DO KADET,SONY MUSIC PUBLISHING,"0,01",NATTAN,Não,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,VARIEDADE SEMANAL,SHOW DA VIRADA,,2023,31/12/2023,TEM CABARE ESSA NOITE,"D LESLY LORA - SONY MUSIC PUBLISHING (19,99%)
FLAVINHO DO KADET - SONY MUSIC PUBLISHING (,01%)
GEOFFREY ROJAS - PEERMUSIC (40%)
YONATHAN MICKEY THEN JAQUEZ - WARNER CHAPPELL (40%)",PERFORMANCE,NÃO,YONATHAN MICKEY THEN JAQUEZ,WARNER CHAPPELL,40,NATTAN,Não,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,VARIEDADE SEMANAL,SHOW DA VIRADA,,2023,31/12/2023,TEM CABARE ESSA NOITE,"D LESLY LORA - SONY MUSIC PUBLISHING (19,99%)
FLAVINHO DO KADET - SONY MUSIC PUBLISHING (,01%)
GEOFFREY ROJAS - PEERMUSIC (40%)
YONATHAN MICKEY THEN JAQUEZ - WARNER CHAPPELL (40%)",PERFORMANCE,NÃO,D LESLY LORA,SONY MUSIC PUBLISHING,"19,99",NATTAN,Não,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,VARIEDADE SEMANAL,SHOW DA VIRADA,,2023,31/12/2023,TU TAVA NA REVOADA,"MC DANNY - A DESCOBRIR (50%)
MC TALIBA - A DESCOBRIR (50%)",PERFORMANCE,NÃO,MC TALIBA,A DESCOBRIR,50,NATTAN,Não,,,,True,artist_alias,CanalInternacional_Dezembro2023
