TÍTULO ORIGINAL,TÍTULO LOCAL,DATA EXIBIÇÃO,HORÁRIO DE EXIBIÇÃO,NÚMERO EPISÓDIO/CAPÍTULO,TEMPORADA,TÍTULO ORIGINAL DO EPISÓDIO,TÍTULO LOCAL DO EPISÓDIO,PRODUTOR,ANO DE PRODUÇÃO,DIRETOR,ORDEM EXECUÇÃO,TÍTULO DA OBRA MUSICAL,TIPO DE MÚSICA,AUTOR,INTERPRETE,SEGUNDOS,CLASSIFICAÇÃO,COMPOSITOR(ES) DAS TRILHAS DO PROGRAMA,EDITORA,GRAVADORA,ISRC,SUBMIX / TIPO DE ARRANJO,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
NO LIMITE - 3ª TEMPORADA,NO LIMITE,01/08/2023,22:28:56,5,,NA AMAZÔNIA,,GLOBO,2021.0,,59,XONA,MUSICA COMERCIAL,RINCON SAPIENCIA,RINCON SAPIÊNCIA,36,BK,,BMG,,,,,,,True,artist_alias,MusicCueSheet_Agosto23
E PIPOCO,,05/08/2023,14:11:26,5082023,,2023,,GLOBO,,,28,CABECA OMBRO JOELHO E PE,MUSICA COMERCIAL,GUI DA TROPA,GUI DA TROPA,101,PE,,A DESCOBRIR,,,,,,,True,artist_alias,MusicCueSheet_Agosto23
CRIANCA ESPERANCA,CRIANÇA ESPERANÇA,07/08/2023,22:28:13,7082023,,CRIANCA ESPERANCA 2023,,GLOBO,2023.0,RAFAEL DRAGAUD E ANTONIA PRADO,8,FORCA ESTRANHA,MUSICA COMERCIAL,CAETANO VELOSO,IVETE SANGALO,152,PE,,WARNER CHAPPELL,,,,,,,True,artist_alias,MusicCueSheet_Agosto23
CRIANCA ESPERANCA,CRIANÇA ESPERANÇA,07/08/2023,22:28:13,7082023,,CRIANCA ESPERANCA 2023,,GLOBO,2023.0,RAFAEL DRAGAUD E ANTONIA PRADO,43,DEIXA ISSO PRA LA,MUSICA COMERCIAL,"ALBERTO PAZ,EDSON MENEZES",BACO EXU DO BLUES,26,PE,,"ADDAF,ADDAF",,,,,,,True,artist_alias,MusicCueSheet_Agosto23
CRIANCA ESPERANCA,CRIANÇA ESPERANÇA,07/08/2023,22:28:13,7082023,,CRIANCA ESPERANCA 2023,,GLOBO,2023.0,RAFAEL DRAGAUD E ANTONIA PRADO,45,VIRA DE LADINHO,MUSICA COMERCIAL,"ANDINHO,GELEIA",MC CAROL,40,PE,,"NOWA,NOWA",,,,,,,True,artist_alias,MusicCueSheet_Agosto23
CRIANCA ESPERANCA,CRIANÇA ESPERANÇA,07/08/2023,22:28:13,7082023,,CRIANCA ESPERANCA 2023,,GLOBO,2023.0,RAFAEL DRAGAUD E ANTONIA PRADO,47,CRAZY IN LOVE,MUSICA COMERCIAL,"BEYONCE KNOWLES,EUGENE RECORD,EUGENE RECORD,RICH HARRISON,SHAWN CARTER.",MC CAROL,17,PE,,"SONY MUSIC PUBLISHING,A DESCOBRIR,WARNER CHAPPELL,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",,,,,,,True,artist_alias,MusicCueSheet_Agosto23
CRIANCA ESPERANCA,CRIANÇA ESPERANÇA,07/08/2023,22:28:13,7082023,,CRIANCA ESPERANCA 2023,,GLOBO,2023.0,RAFAEL DRAGAUD E ANTONIA PRADO,83,SAUDE,MUSICA COMERCIAL,"RITA LEE,ROBERTO DE CARVALHO",IVETE SANGALO,54,PE,,"WARNER CHAPPELL,WARNER CHAPPELL",,,,,,,True,artist_alias,MusicCueSheet_Agosto23
CRIANCA ESPERANCA,CRIANÇA ESPERANÇA,07/08/2023,22:28:13,7082023,,CRIANCA ESPERANCA 2023,,GLOBO,2023.0,RAFAEL DRAGAUD E ANTONIA PRADO,84,SAUDE,MUSICA COMERCIAL,"RITA LEE,ROBERTO DE CARVALHO",IVETE SANGALO,46,TE,,"WARNER CHAPPELL,WARNER CHAPPELL",,,,,,,True,artist_alias,MusicCueSheet_Agosto23
VAI NA FE - REEXIBICAO 2023,,07/08/2023,01:21:20,175,,,,GLOBO,,,2,DEIXE ME IR,MUSICA COMERCIAL,"BAVIERA,CT,HARIEL MEDELLA,KNUST",XAMA,27,TP,,"OS LEMOS,WARNER CHAPPELL,UNIVERSAL MGB,WARNER CHAPPELL",CONSTELLATION,,BG VAZIO,,,,True,artist_alias,MusicCueSheet_Agosto23
VAI NA FE - REEXIBICAO 2023,,07/08/2023,01:21:20,175,,,,GLOBO,,,3,DEIXE ME IR,MUSICA COMERCIAL,"BAVIERA,CT,HARIEL MEDELLA,KNUST",XAMA,4,TP,,"OS LEMOS,WARNER CHAPPELL,UNIVERSAL MGB,WARNER CHAPPELL",CONSTELLATION,,BG VAZIO,,,,True,artist_alias,MusicCueSheet_Agosto23
