TÍTULO ORIGINAL,TÍTULO LOCAL,DATA EXIBIÇÃO,HORÁRIO DE EXIBIÇÃO,NÚMERO EPISÓDIO/CAPÍTULO,TEMPORADA,TÍTULO ORIGINAL DO EPISÓDIO,TÍTULO LOCAL DO EPISÓDIO,PRODUTOR,ANO DE PRODUÇÃO,DIRETOR,ORDEM EXECUÇÃO,TÍTULO DA OBRA MUSICAL,TIPO DE MÚSICA,AUTOR,INTERPRETE,SEGUNDOS,CLASSIFICAÇÃO,COMPOSITOR(ES) DAS TRILHAS DO PROGRAMA,EDITORA,GRAVADORA,ISRC,SUBMIX / TIPO DE ARRANJO,__title_norm,__author_norm,__is_match,__sheet
VAI QUE COLA,,01/08/2023,02:45:23,GOGOBOYS,,7ª TEMPORADA,,GLOBO,,,8,MARIA,MUSICA COMERCIAL,"IAN BLAKE,K C PORTER,LUIZ GOMES ESCOLAR",RICKY MARTIN,26,BK,,"SONY MUSIC PUBLISHING,UNIVERSAL MGB,FERMATA",,,,maria,ricky martin,True,MusicCueSheet_Agosto23
VAI QUE COLA,,02/08/2023,03:13:00,RESPEITE A FAIXA,,7ª TEMPORADA,,GLOBO,,,17,MARIA,MUSICA COMERCIAL,"IAN BLAKE,K C PORTER,LUIZ GOMES ESCOLAR",RICKY MARTIN,84,BK,,"SONY MUSIC PUBLISHING,UNIVERSAL MGB,FERMATA",SONY DISCOS,,,maria,ricky martin,True,MusicCueSheet_Agosto23
VAI QUE COLA,,02/08/2023,03:13:00,RESPEITE A FAIXA,,7ª TEMPORADA,,GLOBO,,,18,MARIA,MUSICA COMERCIAL,"IAN BLAKE,K C PORTER,LUIZ GOMES ESCOLAR",ALEJANDRO VQC,13,PE,,"SONY MUSIC PUBLISHING,UNIVERSAL MGB,FERMATA",,,,maria,alejandro vqc,True,MusicCueSheet_Agosto23
NO LIMITE - 3ª TEMPORADA,NO LIMITE,03/08/2023,22:31:11,6,,NA AMAZÔNIA,,GLOBO,2021.0,,33,DEMARCACAO,MUSICA COMERCIAL,"BRUNO VERON,CHARLIE PEIXOTO,CLEMERSON VERON,KELVIN MBARETE,MARINA PERALTA","BRO MCS,MARINA PERALTA",81,BK,,"A DESCOBRIR,A DESCOBRIR,A DESCOBRIR,A DESCOBRIR,ROCKING GORILLAS",,,,demarcacao,"bro mcs,marina peralta",True,MusicCueSheet_Agosto23
VAI QUE COLA,,03/08/2023,03:25:16,A NOITE DA BRILHANTINA,,7ª TEMPORADA,,GLOBO,,,7,IMORTAL,MUSICA COMERCIAL,"BARRY GIBB,FEIO,MAURICE GIBB,ROBIN GIBB",SANDY E JUNIOR,25,BK,,"UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB",UNIVERSAL MUSIC LTDA.,,,imortal,sandy e junior,True,MusicCueSheet_Agosto23
ALTAS HORAS,ALTAS HORAS,05/08/2023,22:23:51,1125,,,,GLOBO,2023.0,SERGINHO GROISMAN  ,17,VERMELHO,MUSICA COMERCIAL,"DALESTE,GLORIA GROOVE,PABLO BISPO,RUXELL",GLÓRIA GROOVE,106,PE,,"UNIVERSAL MGB,WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL",,,,vermelho,gloria groove,True,MusicCueSheet_Agosto23
ALTAS HORAS,ALTAS HORAS,05/08/2023,22:23:51,1125,,,,GLOBO,2023.0,SERGINHO GROISMAN  ,28,UM ANJO,MUSICA COMERCIAL,"A DESCOBRIR,GUY CHAMBERS,ROBBIE WILLIAMS,ROSANA FERRAO,VERONICA SABINO",KLB,263,PE,,"A DESCOBRIR,ROCKING GORILLAS,UNIVERSAL MGB,SOLUTION MUSIC,SOLUTION MUSIC",,,,um anjo,klb,True,MusicCueSheet_Agosto23
NA PRAIA FESTIVAL,,06/08/2023,23:58:41,6082023,,BRASILIA,,GLOBO,,,7,ESPELHO,MUSICA COMERCIAL,PRISCILLA BARUCCI,JORGE & MATEUS,60,PE,,SONY MUSIC PUBLISHING,,,,espelho,jorge & mateus,True,MusicCueSheet_Agosto23
NA PRAIA FESTIVAL,,06/08/2023,23:58:41,6082023,,BRASILIA,,GLOBO,,,9,FOGUEIRA,MUSICA COMERCIAL,JORGE,JORGE & MATEUS,106,PE,,PANTTANAL,,,,fogueira,jorge & mateus,True,MusicCueSheet_Agosto23
NA PRAIA FESTIVAL,,06/08/2023,23:58:41,6082023,,BRASILIA,,GLOBO,,,12,VERDADE,MUSICA COMERCIAL,"CARLINHOS SANTANA,NELSON RUFINO",ZECA PAGODINHO,250,PE,,"UNIVERSAL MGB,SONY MUSIC PUBLISHING",,,,verdade,zeca pagodinho,True,MusicCueSheet_Agosto23
