TÍTULO ORIGINAL,TÍTULO LOCAL,DATA EXIBIÇÃO,HORÁRIO DE EXIBIÇÃO,NÚMERO EPISÓDIO/CAPÍTULO,TEMPORADA,TÍTULO ORIGINAL DO EPISÓDIO,TÍTULO LOCAL DO EPISÓDIO,PRODUTOR,ANO DE PRODUÇÃO,DIRETOR,ORDEM EXECUÇÃO,TÍTULO DA OBRA MUSICAL,TIPO DE MÚSICA,AUTOR,INTERPRETE,SEGUNDOS,CLASSIFICAÇÃO,COMPOSITOR(ES) DAS TRILHAS DO PROGRAMA,EDITORA,GRAVADORA,ISRC,SUBMIX / TIPO DE ARRANJO,__title_norm,__author_norm,__is_match,__sheet
DOMINGAO COM HUCK,DOMINGÃO COM HUCK,01/10/2023,18:10:55,108,,,,GLOBO,2021.0,DIREÇÃO ARTÍSTICA DE HÉLIO VARGAS E DIREÇÃO GERAL DE CLARISSA LOPES.,6,PESCADOR,MUSICA COMERCIAL,ARMANDINHO,ARMANDINHO,15,BK,,UNIVERSAL MGB,ATRAÇÃO,,,pescador,armandinho,True,MusicCueSheet_TvAberta_Out23
DOMINGAO COM HUCK,DOMINGÃO COM HUCK,01/10/2023,18:10:55,108,,,,GLOBO,2021.0,DIREÇÃO ARTÍSTICA DE HÉLIO VARGAS E DIREÇÃO GERAL DE CLARISSA LOPES.,98,BEIJINHO NO OMBRO,MUSICA COMERCIAL,"ANDRE VIEIRA,ANDRE VIEIRA,DENNIS DJ,PARDAL,WALLACE VIANA,WALLACE VIANA",VALESCA POPOZUDA,98,BK,,"UNIVERSAL MGB,WARNER CHAPPELL,SONY MUSIC PUBLISHING,ADDAF,UNIVERSAL MGB,WARNER CHAPPELL",BERGER MOBILE,,,beijinho no ombro,valesca popozuda,True,MusicCueSheet_TvAberta_Out23
FANTASTICO,FANTÁSTICO,01/10/2023,20:29:58,2606,,,,GLOBO,2023.0,ALI KAMEL,236,DOMINGO,MUSICA COMERCIAL,"ALEXANDRE PIRES,FERNANDO PIRES,RENATO,VADINHO",SÓ PRA CONTRARIAR,44,PE,,"NOSSA MUSICA,NOSSA MUSICA,UNIVERSAL MGB,UNIVERSAL MGB",,,,domingo,so pra contrariar,True,MusicCueSheet_TvAberta_Out23
PIPOCA DA IVETE 2023,PIPOCA DA IVETE,01/10/2023,14:20:03,3,,,,GLOBO,202.0,DIREÇÃO ARTÍSTICA DE CRESO EDUARDO MACEDO E DIREÇÃO DE GÊNERO DE BONINHO,29,MORENA,MUSICA COMERCIAL,"BRUNO MARTINI,VITOR KLEY","JOAO TERRA,FABINHO K,ALLEX REIS",167,PE,,"UNIVERSAL MGB,UNIVERSAL MGB",,,,morena,"joao terra,fabinho k,allex reis",True,MusicCueSheet_TvAberta_Out23
PIPOCA DA IVETE 2023,PIPOCA DA IVETE,01/10/2023,14:20:03,3,,,,GLOBO,202.0,DIREÇÃO ARTÍSTICA DE CRESO EDUARDO MACEDO E DIREÇÃO DE GÊNERO DE BONINHO,62,ME PERDOA,MUSICA COMERCIAL,"BRUNO GABRIEL,FERRUGEM,THIAGUINHO",ALLEX REIS,100,PE,,"WARNER CHAPPELL,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",,,,me perdoa,allex reis,True,MusicCueSheet_TvAberta_Out23
PIPOCA DA IVETE 2023,PIPOCA DA IVETE,01/10/2023,14:20:03,3,,,,GLOBO,202.0,DIREÇÃO ARTÍSTICA DE CRESO EDUARDO MACEDO E DIREÇÃO DE GÊNERO DE BONINHO,82,FLY AWAY,MUSICA COMERCIAL,LENNY KRAVITZ,YOHAN KISSER,100,PE,,BMG,,,,fly away,yohan kisser,True,MusicCueSheet_TvAberta_Out23
TO INDO,,01/10/2023,06:49:46,01102023,,,,GLOBO,,,19,SAUDADE,MUSICA COMERCIAL,"TIAO CARREIRO,ZE MATAO",ANONIMOS,30,PE,,"LATINO,LATINO",,,,saudade,anonimos,True,MusicCueSheet_TvAberta_Out23
MAIS VOCE,MAIS VOCÊ,03/10/2023,10:37:15,5917,,,,GLOBO,2023.0,VIVI DE MARCO,57,WITH OR WITHOUT YOU,MUSICA COMERCIAL,"ADAM CLAYTON,DAVE EVANS,LARRY MULLEN,PAUL HEWSON",U2,82,BK,,"UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB",UNIVERSAL MUSIC,,,with or without you,u2,True,MusicCueSheet_TvAberta_Out23
ENCONTRO,,04/10/2023,09:30:00,2893,,,,GLOBO,,,52,FETICHE,MUSICA COMERCIAL,ACHO ESTOL,MARIANA MAZU.,6,BK,,A DESCOBRIR,,,,fetiche,mariana mazu.,True,MusicCueSheet_TvAberta_Out23
ENCONTRO,,05/10/2023,09:31:07,2894,,,,GLOBO,,,18,RECOMECAR,MUSICA COMERCIAL,"KOBA,PE LANZA,PE LU,THOMAS",RESTART,60,PE,,"MAYNARD SONGS,MAYNARD SONGS,MAYNARD SONGS,MAYNARD SONGS",,,,recomecar,restart,True,MusicCueSheet_TvAberta_Out23
