provider,file,sheet,programa,data_exibicao,numero_programa,exibicao_tipo,categoria_programa,titulo_musica,autor,interprete,tipo_sincronizacao,percentual_editora,valor_editora_brl,editora,gravadora,iswc,isrc,amount_cents,amount_int
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,,,,,,As colunas marcadas em vermelho são de preenchimento obrigatório ,,,As colunas marcadas em vermelho são de preenchimento obrigatório ,,,,,,,0,0
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,,,,,,TÍTULO DA OBRA,,,TÍTULO DA OBRA,,,,,,,0,0
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,,,,,,AINDA ONTEM CHOREI DE SAUDADE,,,AINDA ONTEM CHOREI DE SAUDADE,,,,,,,0,0
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,,,,,,UM CANTINHO DO SEU CORAÇÃO,,,UM CANTINHO DO SEU CORAÇÃO,,,,,,,0,0
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,,,,,,ESCOLTA DE VAGALUMES,,,ESCOLTA DE VAGALUMES,,,,,,,0,0
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,,,,,,ESCRITO NAS ESTRELAS,,,ESCRITO NAS ESTRELAS,,,,,,,0,0
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,,,,,,ESSE AMOR QUE ME MATA,,,ESSE AMOR QUE ME MATA,,,,,,,0,0
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,,,,,,FOGÃO DE LENHA,,,FOGÃO DE LENHA,,,,,,,0,0
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,,,,,,FOLHA SECA,,,FOLHA SECA,,,,,,,0,0
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,,,,,,ÍNDIA SUL-MATOGROSSENSE,,,ÍNDIA SUL-MATOGROSSENSE,,,,,,,0,0
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,,,,,,MERCEDITA,,,MERCEDITA,,,,,,,0,0
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,,,,,,MEU REINO ENCANTADO,,,MEU REINO ENCANTADO,,,,,,,0,0
