provider,file,sheet,programa,data_exibicao,numero_programa,exibicao_tipo,categoria_programa,titulo_musica,autor,interprete,tipo_sincronizacao,percentual_editora,valor_editora_brl,editora,gravadora,iswc,isrc,amount_cents,amount_int
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,,,,,,,,,,,0,0
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,,,,,,,,,,,0,0
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,EDITORA,,,EDITORA,,,,,,,0,0
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,,,PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,,,PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,ADDAF - ASS. DEF. DIREITOS AUTORAIS FONOMECÂNICOS,,,ADDAF - ASS. DEF. DIREITOS AUTORAIS FONOMECÂNICOS,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,ADDAF - ASS. DEF. DIREITOS AUTORAIS FONOMECÂNICOS,,,ADDAF - ASS. DEF. DIREITOS AUTORAIS FONOMECÂNICOS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,FORTUNA MUSICAL EDIÇÕES LTDA,,,FORTUNA MUSICAL EDIÇÕES LTDA,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DUETO EDIÇÕES MUSICAIS LTDA.,,,DUETO EDIÇÕES MUSICAIS LTDA.,,,,,,,79972,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,,,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,,,,,,,79972,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,,,WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,,,,,,,106618,1066
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,FUSION MUSIC EDIÇÕES MUSICAIS LTDA,,,FUSION MUSIC EDIÇÕES MUSICAIS LTDA,,,,,,,53325,533
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,26654,267
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,ABRAMUS DIGITAL SERV. IDENT. REPERTÓRIO,,,ABRAMUS DIGITAL SERV. IDENT. REPERTÓRIO,,,,,,,53317,533
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,IRMÃOS VITALE EDITORES LTDA,,,IRMÃOS VITALE EDITORES LTDA,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,,,PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,,,PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,,,UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,,,,,,,26662,267
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,,,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,,,,,,,53309,533
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,BMG RIGHTS MANAGEMENT BRASIL LTDA,,,BMG RIGHTS MANAGEMENT BRASIL LTDA,,,,,,,13331,133
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,16,0
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,,,WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,,,,,,,26646,266
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,,,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,,,,,,,39978,400
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,JULIANA FAKRI DE ASSIS EPP,,,JULIANA FAKRI DE ASSIS EPP,,,,,,,15994,160
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,ABRAMUS DIGITAL SERV. IDENT. REPERTÓRIO,,,ABRAMUS DIGITAL SERV. IDENT. REPERTÓRIO,,,,,,,15994,160
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,,,WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,,,,,,,31988,320
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,,,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,,,,,,,15994,160
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,,,PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,,,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,,,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,,,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,,,WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,EDITORA MUSICAL PANTTANAL LTDA,,,EDITORA MUSICAL PANTTANAL LTDA,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,UNIVERSAL MUSIC LTDA.,,,UNIVERSAL MUSIC LTDA.,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,79971,800
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,159943,1599
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,DIVERSAS,,,DIVERSAS,,,,,,,37370,374
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,,,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,,,,,,,37370,374
SBT,11. Solicitação novembro 2023.xls,Relatório Solicitação,,,,,,WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,,,WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,,,,,,,74740,747
