provider,file,sheet,programa,data_exibicao,numero_programa,exibicao_tipo,categoria_programa,titulo_musica,autor,interprete,tipo_sincronizacao,percentual_editora,valor_editora_brl,editora,gravadora,iswc,isrc,amount_cents,amount_int
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,CANAL: DIVERSOS,,,CANAL: DIVERSOS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,PROGRAMA: DIVERSOS,,,PROGRAMA: DIVERSOS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,PERÍODO: 01/11/2023 A 30/11/2023,,,PERÍODO: 01/11/2023 A 30/11/2023,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,Canal,,,Canal,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
Globo,ConsolidadoDiversos_Novembro2023.xlsx,TvFechada_Novembro2023,,,,,,BIS,,,BIS,,,,,,,0,0
