provider,file,sheet,programa,data_exibicao,numero_programa,exibicao_tipo,categoria_programa,titulo_musica,autor,interprete,tipo_sincronizacao,percentual_editora,valor_editora_brl,editora,gravadora,iswc,isrc,amount_cents,amount_int
Globoplay,MusicCueSheet_OriginaisGloboplay_Outubro2023.xlsx,MusicCueSheet_Globoplay_Out2023,,06/10/2023,2,,,AJOELHOU REZOU,"HIROSHI MIZUTANI,SANY PITBULL",SANY PITBULL,,,,"CRESPO MUSIC,CRESPO MUSIC",CRESPO MUSIC,,,0,0
Globoplay,MusicCueSheet_OriginaisGloboplay_Outubro2023.xlsx,MusicCueSheet_Globoplay_Out2023,,06/10/2023,2,,,AJOELHOU REZOU,"HIROSHI MIZUTANI,SANY PITBULL",SANY PITBULL,,,,"CRESPO MUSIC,CRESPO MUSIC",CRESPO MUSIC,,,0,0
Globoplay,MusicCueSheet_OriginaisGloboplay_Outubro2023.xlsx,MusicCueSheet_Globoplay_Out2023,,06/10/2023,2,,,CAVALARIA CIVIL,"HIROSHI MIZUTANI,SANY PITBULL",SANY PITBULL,,,,"CRESPO MUSIC,CRESPO MUSIC",CRESPO MUSIC,,,0,0
Globoplay,MusicCueSheet_OriginaisGloboplay_Outubro2023.xlsx,MusicCueSheet_Globoplay_Out2023,,06/10/2023,2,,,DIVISAO PAD TENSO 3,SANY PITBULL,SANY PITBULL,,,,CRESPO MUSIC,CRESPO MUSIC,,,0,0
Globoplay,MusicCueSheet_OriginaisGloboplay_Outubro2023.xlsx,MusicCueSheet_Globoplay_Out2023,,06/10/2023,2,,,DIVISAO PULSO 1,SANY PITBULL,SANY PITBULL,,,,CRESPO MUSIC,CRESPO MUSIC,,,0,0
Globoplay,MusicCueSheet_OriginaisGloboplay_Outubro2023.xlsx,MusicCueSheet_Globoplay_Out2023,,06/10/2023,2,,,DOR DE MAE,"HIROSHI MIZUTANI,SANY PITBULL","SANY PITBULL, HIROSHI MIZUTANI",,,,"CRESPO MUSIC,CRESPO MUSIC",CRESPO MUSIC,,,0,0
Globoplay,MusicCueSheet_OriginaisGloboplay_Outubro2023.xlsx,MusicCueSheet_Globoplay_Out2023,,06/10/2023,2,,,LAGRIMAS DE MAE,"HIROSHI MIZUTANI,SANY PITBULL",SANY PITBULL,,,,"CRESPO MUSIC,CRESPO MUSIC",CRESPO MUSIC,,,0,0
Globoplay,MusicCueSheet_OriginaisGloboplay_Outubro2023.xlsx,MusicCueSheet_Globoplay_Out2023,,06/10/2023,2,,,MAR MORTO,"HIROSHI MIZUTANI,SANY PITBULL","SANY PITBULL, HIROSHI MIZUTANI",,,,"CRESPO MUSIC,CRESPO MUSIC",CRESPO MUSIC,,,0,0
Globoplay,MusicCueSheet_OriginaisGloboplay_Outubro2023.xlsx,MusicCueSheet_Globoplay_Out2023,,06/10/2023,2,,,MAR MORTO,"HIROSHI MIZUTANI,SANY PITBULL","SANY PITBULL, HIROSHI MIZUTANI",,,,"CRESPO MUSIC,CRESPO MUSIC",CRESPO MUSIC,,,0,0
Globoplay,MusicCueSheet_OriginaisGloboplay_Outubro2023.xlsx,MusicCueSheet_Globoplay_Out2023,,06/10/2023,2,,,MAR MORTO,"HIROSHI MIZUTANI,SANY PITBULL","SANY PITBULL, HIROSHI MIZUTANI",,,,"CRESPO MUSIC,CRESPO MUSIC",CRESPO MUSIC,,,0,0
