provider,file,sheet,programa,data_exibicao,numero_programa,exibicao_tipo,categoria_programa,titulo_musica,autor,interprete,tipo_sincronizacao,percentual_editora,valor_editora_brl,editora,gravadora,iswc,isrc,amount_cents,amount_int
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,TA CALOR TA QUENTE,"MC DON,MULHER FILE",MULHER FILÉ,,,,"NOWA,GALERAO RECORDS",YANI FILÉ,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,FUEGO,"ALOK,RODRIGO AMARANTE",ALOK & BHASKAR,,,,"DUBAS,DUBAS",SPINNIN' RECORDS,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,RIO 40 GRAUS,"CARLOS LAUFER,FAUSTO FAWCETT,FERNANDA ABREU","FAUSTO FAWCETT, FERNANDA ABREU",FULL MIX,,,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING,GAROTA SANGUE BOM",UNIVERSAL,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,PLANETA AGUA,GUILHERME ARANTES,GUILHERME ARANTES,,,,SONY MUSIC PUBLISHING,WM BRAZIL,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,PESCADOR,ARMANDINHO,ARMANDINHO,,,,UNIVERSAL MGB,ATRAÇÃO,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,PESCADOR DE ILUSOES,"A DESCOBRIR,LAURO FARIAS,MARCELO FALCAO,MARCELO LOBATO,MARCELO YUKA,XANDAO",O RAPPA,,,,"A DESCOBRIR,WARNER CHAPPELL,WARNER CHAPPELL,HUMAITA,WARNER CHAPPELL,HUMAITA",WM BRAZIL,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,ALLAH LA O,"HAROLDO LOBO,NASSARA",MARCHINHAS DE CARNAVAL,,,,"VITALE,VITALE",,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,DEIXA ACONTECER,"ALEX FREITAS,CARLOS CAETANO",GRUPO REVELAÇÃO,,,,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",DECKDISC,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,DEIXA ACONTECER,"ALEX FREITAS,CARLOS CAETANO",XANDE DE PILARES,,,,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,WELCOME TO BRAZIL BRUNINHO BRAZIL I CAME,BRUNO MARS,BRUNO MARS,,,,A DESCOBRIR,,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,MEU VIOLAO E O NOSSO CACHORRO,"NIVARDO PAZ,SIMARIA",SIMONE & SIMARIA,,,,"UNIVERSAL MGB,ABRAMUS",UNIVERSAL MUSIC LTDA,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,WELCOME TO BRAZIL BRUNINHO BRAZIL I CAME,BRUNO MARS,BRUNO MARS,,,,A DESCOBRIR,,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,WELCOME TO BRAZIL BRUNINHO BRAZIL I CAME,BRUNO MARS,BRUNO MARS,,,,A DESCOBRIR,,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,SAY IT RIGHT,"NATE HILLS,NELLY FURTADO,TIM MOSLEY",NELLY FURTADO,,,,"ROCKING GORILLAS,SONY MUSIC PUBLISHING,PEERMUSIC",RESERVOIR MEDIA MUSIC,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,SAY IT RIGHT,"NATE HILLS,NELLY FURTADO,TIM MOSLEY",NELLY FURTADO,,,,"ROCKING GORILLAS,SONY MUSIC PUBLISHING,PEERMUSIC",RESERVOIR MEDIA MUSIC,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,SO DEPOIS,"CARLOS CAETANO,CARLOS CAETANO,CHARLES BONFIM,CLAUDEMIR",XANDE DE PILARES,,,,"A DESCOBRIR,SONY MUSIC PUBLISHING,DUBAS,DUBAS",,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,EVIDENCIAS,"JOSE AUGUSTO,PAULO SERGIO VALLE",SEU TONHO PARTICIPANTE  DA PLATEIA,,,,"UNIVERSAL MGB,SONY MUSIC PUBLISHING",,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,PE NA AREIA,"CAUIQUE,DIOGO LEITE,RODRIGO LEITE",SEU TONHO PARTICIPANTE  DA PLATEIA,,,,"OLE OLA,OLE OLA,OLE OLA",,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,DO JEITO QUE A VIDA QUER,BENITO DI PAULA,SEU TONHO PARTICIPANTE  DA PLATEIA,,,,PEERMUSIC,,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,ZONA DE PERIGO,"ADRIEL MAX,FELLA BROWN,LUKINHAS,PIERROT JUNIOR,PIERROT JUNIOR,RAFA CHAGAS,YVES",SEU TONHO PARTICIPANTE DA PLATEIA,,,,"DOM GUEDES,BMG,SONY MUSIC PUBLISHING,A DESCOBRIR,MACHADO CONSULTORIA NEGOCIAL,IESSI MUSIC PUBLISHING,IESSI MUSIC PUBLISHING",,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,TA ESCRITO,"CARLINHOS MADUREIRA,GILSON BERNINI,XANDE DE PILARES,XANDE DE PILARES",SEU TONHO & XANDY DE PILARES,,,,"WARNER CHAPPELL,UNIVERSAL MGB,BMG,UNIVERSAL MGB",,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,DEEP DOWN,"ALOK,CRYSTAL WATERS,DANIEL SERAPHINE,DAVID WOLINSKI,ED DREWETT,ELLA MCMAHON,KENNY GONZALEZ,NEAL CONWAY,NEAVE APPLEBAUM,OHYES","ALOK,ELLA EYRE,KENNY DOPE,NEVER DULL",,,,"UNIVERSAL MGB,UNIVERSAL MGB,SONY MUSIC PUBLISHING,A DESCOBRIR,UNIVERSAL MGB,WARNER CHAPPELL,A DESCOBRIR,UNIVERSAL MGB,SONY MUSIC PUBLISHING,WARNER CHAPPELL",UNIVERSAL MUSIC PUBLISHING,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,DEEP DOWN,"ALOK,CRYSTAL WATERS,DANIEL SERAPHINE,DAVID WOLINSKI,ED DREWETT,ELLA MCMAHON,KENNY GONZALEZ,NEAL CONWAY,NEAVE APPLEBAUM,OHYES","ALOK,ELLA EYRE,KENNY DOPE,NEVER DULL",,,,"UNIVERSAL MGB,UNIVERSAL MGB,SONY MUSIC PUBLISHING,A DESCOBRIR,UNIVERSAL MGB,WARNER CHAPPELL,A DESCOBRIR,UNIVERSAL MGB,SONY MUSIC PUBLISHING,WARNER CHAPPELL",UNIVERSAL MUSIC PUBLISHING,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,SWEET CAROLINE,NEIL DIAMOND,DIE CAMPBELLS,,,,UNIVERSAL MGB,CAMPBELL MUSIC ENTERTAINMENT,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,SWEET CAROLINE,NEIL DIAMOND,DIE CAMPBELLS,,,,UNIVERSAL MGB,CAMPBELL MUSIC ENTERTAINMENT,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,MOZART QUEEN OF THE NIGHT ARIA DER HOLLE RACHE,PHILHARMONIA LA SEINE,PHILHARMONIA LA SEINE,,,,A DESCOBRIR,PHILHARMONIA LA SEINE,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,LANCA PERFUME,"RITA LEE,ROBERTO DE CARVALHO",RITA LEE,FULL MIX,,,"WARNER CHAPPELL,WARNER CHAPPELL",UNIVERSAL,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,MOZART QUEEN OF THE NIGHT ARIA DER HOLLE RACHE,PHILHARMONIA LA SEINE,PHILHARMONIA LA SEINE,,,,A DESCOBRIR,PHILHARMONIA LA SEINE,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,MOZART QUEEN OF THE NIGHT ARIA DER HOLLE RACHE,PHILHARMONIA LA SEINE,PHILHARMONIA LA SEINE,,,,A DESCOBRIR,PHILHARMONIA LA SEINE,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,LANCA PERFUME,"RITA LEE,ROBERTO DE CARVALHO",RITA LEE,FULL MIX,,,"WARNER CHAPPELL,WARNER CHAPPELL",UNIVERSAL,,,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,,01/10/2023,108,,,LANCA PERFUME,"RITA LEE,ROBERTO DE CARVALHO",RITA LEE,FULL MIX,,,"WARNER CHAPPELL,WARNER CHAPPELL",UNIVERSAL,,,0,0
