provider,file,sheet,programa,data_exibicao,numero_programa,exibicao_tipo,categoria_programa,titulo_musica,autor,interprete,tipo_sincronizacao,percentual_editora,valor_editora_brl,editora,gravadora,iswc,isrc,amount_cents,amount_int
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,CANAL: CANAIS GLOBO,,,CANAL: CANAIS GLOBO,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,PROGRAMA: DIVERSOS,,,PROGRAMA: DIVERSOS,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,PERÍODO: 01/03/2024 A 31/03/2024,,,PERÍODO: 01/03/2024 A 31/03/2024,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,,,,,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Mídia,,,Mídia,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,,,,,,Globoplay,,,Globoplay,,,,,,,0,0
