provider,file,sheet,programa,data_exibicao,numero_programa,exibicao_tipo,categoria_programa,titulo_musica,autor,interprete,tipo_sincronizacao,percentual_editora,valor_editora_brl,editora,gravadora,iswc,isrc,amount_cents,amount_int
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,04/01/2024,16,,,BABY BABY,"ANDRE LAUDZ,PETER WOLF,SETH JUSTMAN,ZEGON",TROPKILLAZ,,,,"BMG,WARNER CHAPPELL,WARNER CHAPPELL,BMG",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,04/01/2024,16,,,EXAGERADO,"CAZUZA,EZEQUIEL NEVES,LEONI",CAZUZA,,,,"WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,04/01/2024,16,,,POR SUPUESTO,"IURI RIO BRANCO,MARINA SENA",MARINA SENA,FULL MIX,,,"BOA MUSIC RIGHTS,BOA MUSIC RIGHTS",MARINA SENA,,BX7O92000007,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,04/01/2024,16,,,DE JANEIRO A JANEIRO,ROBERTA CAMPOS,"ROBERTA CAMPOS, NANDO REIS",,,,DECK,,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,04/01/2024,16,,,POR SUPUESTO,"IURI RIO BRANCO,MARINA SENA",MARINA SENA,FULL MIX,,,"BOA MUSIC RIGHTS,BOA MUSIC RIGHTS",MARINA SENA,,BX7O92000007,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,04/01/2024,16,,,FEVEREIRO,JULIA DEVITO,JULIA DEVITO,,,,A DESCOBRIR,,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,04/01/2024,16,,,ARAKETU BOM DEMAIS,DINHA,ARA KETU,,,,UNIVERSAL MGB,,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,14,,,PALCO,GILBERTO GIL,ELENCO,FULL MIX,,,SONY MUSIC PUBLISHING,GLOBO,,BC1GL2291989,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,14,,,AMANHA,GUILHERME ARANTES,ELENCO,FULL MIX,,,WARNER CHAPPELL,,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,14,,,PALCO,GILBERTO GIL,ELENCO,FULL MIX,,,SONY MUSIC PUBLISHING,GLOBO,,BC1GL2291989,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,15,,,PALCO,GILBERTO GIL,ELENCO,FULL MIX,,,SONY MUSIC PUBLISHING,GLOBO,,BC1GL2291989,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,15,,,FELICIDADE,"GABRIEL MOURA,LEANDRO FAB,PRETINHO DA SERRINHA,SEU JORGE",ELENCO,FULL MIX,,,"WARNER CHAPPELL,SONY MUSIC PUBLISHING,UNIVERSAL MGB,SONY MUSIC PUBLISHING",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,15,,,SE TODOS FOSSEM IGUAIS A VOCE,"TOM JOBIM,VINICIUS DE MORAES",ELENCO,FULL MIX,,,"JOBIM MUSIC,VM EDITORA",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,15,,,ASAS,MATHEUS ALEIXO PINTO,ELENCO,FULL MIX,,,UNIVERSAL MGB,,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,15,,,PALCO,GILBERTO GIL,ELENCO,FULL MIX,,,SONY MUSIC PUBLISHING,GLOBO,,BC1GL2291989,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,16,,,PALCO,GILBERTO GIL,ELENCO,FULL MIX,,,SONY MUSIC PUBLISHING,GLOBO,,BC1GL2291989,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,16,,,A FORMULA DO AMOR,"LEO JAIME,LEONI",ELENCO,FULL MIX,,,"COPYRIGHTS,PEERMUSIC",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,16,,,VARIAS QUEIXAS,"AFRO JHOW,GERMANO MENEGHEL,NARCISINHO SANTOS",ELENCO,FULL MIX,,,"FARO FINO,FARO FINO,FARO FINO",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,16,,,PALCO,GILBERTO GIL,ELENCO,FULL MIX,,,SONY MUSIC PUBLISHING,GLOBO,,BC1GL2291989,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,17,,,PALCO,GILBERTO GIL,ELENCO,FULL MIX,,,SONY MUSIC PUBLISHING,GLOBO,,BC1GL2291989,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,17,,,PRA NAO TE ACORDAR,"GISELE DE SANTI,JULIANO CORTUAH",ELENCO,FULL MIX,,,"WARNER CHAPPELL,UNIVERSAL MGB",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,17,,,COBRA VENENOSA,LUDMILLA,ELENCO,FULL MIX,,,WARNER CHAPPELL,,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,17,,,PALCO,GILBERTO GIL,ELENCO,FULL MIX,,,SONY MUSIC PUBLISHING,GLOBO,,BC1GL2291989,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,18,,,PALCO,GILBERTO GIL,ELENCO,FULL MIX,,,SONY MUSIC PUBLISHING,GLOBO,,BC1GL2291989,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,18,,,BATE CORACAO,CECEU,ELENCO,FULL MIX,,,PEERMUSIC,,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,18,,,SE ESSA VIDA FOSSE UM FILME,GIULIA BE,ELENCO,FULL MIX,,,SONY MUSIC PUBLISHING,,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,18,,,PALCO,GILBERTO GIL,ELENCO,FULL MIX,,,SONY MUSIC PUBLISHING,GLOBO,,BC1GL2291989,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,19,,,PALCO,GILBERTO GIL,ELENCO,FULL MIX,,,SONY MUSIC PUBLISHING,GLOBO,,BC1GL2291989,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,19,,,O AMOR E O SEGREDO,VITOR KLEY,ELENCO,FULL MIX,,,UNIVERSAL MGB,,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,19,,,PALCO,GILBERTO GIL,ELENCO,FULL MIX,,,SONY MUSIC PUBLISHING,GLOBO,,BC1GL2291989,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,20,,,PALCO,GILBERTO GIL,ELENCO,FULL MIX,,,SONY MUSIC PUBLISHING,GLOBO,,BC1GL2291989,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,,24/01/2024,20,,,ANDAR COM FE,GILBERTO GIL,ELENCO,FULL MIX,,,SONY MUSIC PUBLISHING,,,,0,0
