provider,file,sheet,programa,data_exibicao,numero_programa,exibicao_tipo,categoria_programa,titulo_musica,autor,interprete,tipo_sincronizacao,percentual_editora,valor_editora_brl,editora,gravadora,iswc,isrc,amount_cents,amount_int
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,3.0,,,OBLIVION,ASTOR PIAZZOLLA,ANTONIO PINTO,FULL MIX,,,A DESCOBRIR,GLOBO,,BC1GL2329229,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,3.0,,,GENTE ABERTA,"ERASMO CARLOS,ROBERTO CARLOS",ERASMO CARLOS,,,,"WARNER CHAPPELL,WARNER CHAPPELL",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,4.0,,,BANDIDO CORAZON,RITA LEE,NEY MATOGROSSO,FULL MIX,,,WARNER CHAPPELL,WARNER,,BRWMB9804411,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,4.0,,,BANDIDO CORAZON,RITA LEE,NEY MATOGROSSO,,,,WARNER CHAPPELL,,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,4.0,,,CORACAO SELVAGEM,BELCHIOR,BELCHIOR,,,,FORTALEZA,WARNER MUSIC,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,4.0,,,STELLA,"FABIO,PAULO IMPERIAL",FABIO,FULL MIX,,,"FERMATA,FERMATA",SONY MUSIC,,BRBMG6900166,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,1.0,,,A LAPA DE ADAO E EVA,"CARLINHOS BAGUNCA,CARNAVAL,H O,PATRICIO,ZE DO CAVACO",NEGUINHO DA BEIJA FLOR,,,,"WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,1.0,,,SONHAR COM REI DA LEAO,"NEGUINHO DA BEIJA FLOR,NEGUINHO DA BEIJA FLOR",NEGUINHO DA BEIJA FLOR,,,,"SONY MUSIC PUBLISHING,WARNER CHAPPELL",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,1.0,,,O ASTRO ILUMINADO DA COMUNICACAO BRASILEIRA,"ADILSON BRANDAO,DIOGO ROSA,JR BEIJA FLOR,JUNIOR TRINDADE,SIDNEY DE PILARES,ZE CARLOS",G.R.E.S. BEIJA FLOR DE NILOPOLIS,,,,"EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,1.0,,,TEM QUE SE TIRAR DA CABECA O QUE NAO SE TEM NO BOLSO,"BICHO DE PENA,JORGE MELODIA,MARCELO LESSA,PAULO EMILIO",GRES ACADEMICOS DO SALGUEIRO,,,,"EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,1.0,,,TEM QUE SE TIRAR DA CABECA O QUE NAO SE TEM NO BOLSO,"BICHO DE PENA,JORGE MELODIA,MARCELO LESSA,PAULO EMILIO",GRES ACADEMICOS DO SALGUEIRO,,,,"EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,1.0,,,KIZOMBA FESTA DA RACA,"JONAS,LUIZ CARLOS DA VILA,RODOLFO",GRES UNIDOS DE VILA ISABEL,,,,"EDIMUSA,EDIMUSA,EDIMUSA",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,2.0,,,PEGUEI UM ITA NO NORTE,"ARIZAO,BALA,CELSO TRINDADE,DEMA CHAGAS,GUARACY",GRES ACADEMICOS DO SALGUEIRO,,,,"EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,2.0,,,A CANA QUE AQUI SE PLANTA TUDO DA ATE ENERGIA ALCOOL O COMBUSTIVEL DO ...,"LEONEL,LUIZINHO PROFESSOR,PROFESSOR NEWTAO,QUINHO,SERGINHO 20,SIDNEY SA",GRES ACADEMICOS DO SALGUEIRO,,,,"EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,2.0,,,A CANA QUE AQUI SE PLANTA TUDO DA ATE ENERGIA ALCOOL O COMBUSTIVEL DO ...,"LEONEL,LUIZINHO PROFESSOR,PROFESSOR NEWTAO,QUINHO,SERGINHO 20,SIDNEY SA",GRES ACADEMICOS DO SALGUEIRO,,,,"EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,3.0,,,SALGUEIRO NO MAR DE XARAYES E PANTANAL E CARNAVAL,"AUGUSTO,NEGO,ROCCO FILHO,ZE CARLOS DA SAARA",GRES ACADEMICOS DO SALGUEIRO,,,,"EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,4.0,,,O SOM DA COR,"ARTUR DAS FERRAGENS,BRAGUINHA,DANILO GARCIA,GUSTAVINHO OLIVEIRA,JULIO ALVES,RAFAEL ZIMMERMANN",GRES UNIDOS DE VILA ISABEL,,,,"EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,6.0,,,AS MIL E UMA NOITES DE UMA MOCIDADE PRA LA DE MARRAKECH,"ALTAY VELOSO,ANDRE BAIACU,DADINHO,FABIO BORGES,GUSTAVO SOARES,J GIOVANNI,PAULO CESAR FEITAL,THIAGO MEINERS,ZE GLORIA,ZE PAULO SIERRA",G.R.E.S. MOCIDADE INDEPENDENTE DE PADRE MIGUEL,,,,"EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,01/11/2023,7.0,,,O VENTO CORTA AS TERRAS DOS PAMPAS EM NOME DO PAI DO FILHO E DO ...,"ADILSON CHINA,DOMINGOS PS,J C COELHO,JORGINHO MOREIRA,PAULINHO ROCHA,R ALVES,RIBEIRINHO,SERGINHO SUMARE,SIDNEY DE PILARES,WALNEI ROCHA,ZEQUINHA DO CAVACO",NEGUINHO DA BEIJA FLOR,,,,"EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA,EDIMUSA",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,08/11/2023,5.0,,,TUDO BLUE,"FAUSTO NILO,PEPEU GOMES",BABY CONSUELO,FULL MIX,,,"WARNER CHAPPELL,WARNER CHAPPELL",WARNER,,BRWMB9705633,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,08/11/2023,5.0,,,SONO COME TU MI VUOI,"ANTONIO AMURRI,BRUNO CANFORA",MINA,FULL MIX,,,"DUBAS,DUBAS",PEERMUSIC,,ITA646800143,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,08/11/2023,5.0,,,ACENDA O FAROL,TIM MAIA,TIM MAIA,FULL MIX,,,SEROMA,WARNER,,BRWMB9802482,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,08/11/2023,5.0,,,ACENDA O FAROL,TIM MAIA,TIM MAIA,FULL MIX,,,SEROMA,WARNER,,BRWMB9802482,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,08/11/2023,5.0,,,QUE LOUCURA,LUIZ CARLINI,RITA LEE,FULL MIX,,,WARNER CHAPPELL,UNIVERSAL MUSIC,,BREMI7800662,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,08/11/2023,5.0,,,QUE LOUCURA,LUIZ CARLINI,RITA LEE,FULL MIX,,,WARNER CHAPPELL,UNIVERSAL MUSIC,,BREMI7800662,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,08/11/2023,6.0,,,DISCO INFERNO,"LEROY GREEN,RON KERSEY",THE TRAMMPS,FULL MIX,,,"ROCKING GORILLAS,ROCKING GORILLAS",WARNER,,USAT20300384,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,08/11/2023,6.0,,,A FELICIDADE BATE A SUA PORTA,GONZAGUINHA,AS FRENETICAS,FULL MIX,,,MOLEQUE,WARNER MUSIC,,BRWMB9900357,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,13/11/2023,1.0,,,HINO DO FLAMENGO,LAMARTINE BABO,BANDA DA BOATE,,,,FERMATA,,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,13/11/2023,1.0,,,ABELARDO BARBOSA,MIGUEL GUSTAVO,CHACRINHA,,,,ADDAF,,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,14/11/2023,2.0,,,INSENSATO DESTINO,"ACYR MARQUES,CHIQUINHO,MAURICIO LINS",AMIGOS DO ROBERTO DINAMITE,,,,"WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,14/11/2023,14112023.0,,,TEMA DA VITORIA,EDUARDO SOUTO,EDUARDO SOUTO NETO,,,,SIGEM,GLOBO,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,14/11/2023,14112023.0,,,CONTAS DO ROSARIO,TITA REIS,PASTORAS DO ROSARIO,,,,TITA REIS,,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,14/11/2023,14112023.0,,,NAO ABRA A PORTA,"JHONY GUIMA,RENATO GAMA,RONALDO GAMA",PASTORAS DO ROSARIO,,,,"JHONY GUIMA,RENATO GAMA,RONALDO GAMA",,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,14/11/2023,14112023.0,,,O REI SAMBOU,RENATO GAMA,PASTORAS DO ROSARIO,,,,RENATO GAMA,,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,14/11/2023,14112023.0,,,CRIANCAS,COCAO AVOZ,COCAO AVOZ,,,,COCAO AVOZ,,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,14/11/2023,14112023.0,,,CONTAS DO ROSARIO,TITA REIS,PASTORAS DO ROSARIO,,,,TITA REIS,,,,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,,14/11/2023,14112023.0,,,O REI SAMBOU,RENATO GAMA,PASTORAS DO ROSARIO,,,,RENATO GAMA,,,,0,0
