provider,file,sheet,programa,data_exibicao,numero_programa,exibicao_tipo,categoria_programa,titulo_musica,autor,interprete,tipo_sincronizacao,percentual_editora,valor_editora_brl,editora,gravadora,iswc,isrc,amount_cents,amount_int
SBT,Unificado SBT nov dez 23 e jan fev mar 24.xls,Relatório Solicitação,THE NOITE,14/12/2023,2471,GRAVADO,PROGRAMA,QUEM PERDE E QUEM TRAI,MANU BAHTIDAO / RICARDUS MAXIMUS / THALYSSON LIMA,ULTRAJE A RIGOR,PERFORMANCE,100.00%,"799,71",DIVERSAS,,,,79971,800
SBT,Unificado SBT nov dez 23 e jan fev mar 24.xls,Relatório Solicitação,THE NOITE,14/12/2023,2471,GRAVADO,PROGRAMA,DAQUI PRA SEMPRE,EMANUELLA TENORIO ROCHA / JIMMYERIK ROBERTJANSSON / JIMMY PAUL THORNFELDT / LOREN NORA ZEINEB TALHAOUI / MOA ANNA MARIA CARLEBECKER / PETER LARS BOSTROM / TOMAS ERIK GUSTAFSSON,MANU BAHTIDÃO,PERFORMANCE,50.00%,"399,86",DIVERSAS,,,,39986,400
SBT,Unificado SBT nov dez 23 e jan fev mar 24.xls,Relatório Solicitação,THE NOITE,14/12/2023,2471,GRAVADO,PROGRAMA,DAQUI PRA SEMPRE,EMANUELLA TENORIO ROCHA / JIMMYERIK ROBERTJANSSON / JIMMY PAUL THORNFELDT / LOREN NORA ZEINEB TALHAOUI / MOA ANNA MARIA CARLEBECKER / PETER LARS BOSTROM / TOMAS ERIK GUSTAFSSON,MANU BAHTIDÃO,PERFORMANCE,50.00%,"399,86",PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,,,,39986,400
SBT,Unificado SBT nov dez 23 e jan fev mar 24.xls,Relatório Solicitação,THE NOITE,14/12/2023,2471,GRAVADO,PROGRAMA,ABISMO,BRUNO RIGAMONTE CARNEIRO / EMANUELLA TENORIO ROCHA / RICARDUS MAXIMUS MIRANDA DA CUNHA JUNIOR / THALLYSON LIMA,MANU BAHTIDÃO,PERFORMANCE,100.00%,"799,71",BMG RIGHTS MANAGEMENT BRASIL LTDA,,,,79971,800
SBT,Unificado SBT nov dez 23 e jan fev mar 24.xls,Relatório Solicitação,THE NOITE,14/12/2023,2471,GRAVADO,PROGRAMA,BOYS DON'T CRY,MICHAEL DEMPSEY / LAURENCE TOLHURST / ROBERT SMITH,ULTRAJE A RIGOR,PERFORMANCE,100.00%,"799,71",UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,,,,79971,800
SBT,Unificado SBT nov dez 23 e jan fev mar 24.xls,Relatório Solicitação,THE NOITE,14/12/2023,2471,GRAVADO,PROGRAMA,VINHO BRANCO,LEO CARVALHO / MANU HALLIDAY,MANU BAHTIDÃO,PERFORMANCE,100.00%,"799,71",DIVERSAS,,,,79971,800
SBT,Unificado SBT nov dez 23 e jan fev mar 24.xls,Relatório Solicitação,THE NOITE,14/12/2023,2471,GRAVADO,PROGRAMA,DAQUI PRA FRENTE,MANU HALLIDAY / RICARDUS MAXIMUS / THALYSSON LIMA,MANU BAHTIDÃO,PERFORMANCE,100.00%,"799,71",DIVERSAS,,,,79971,800
SBT,Unificado SBT nov dez 23 e jan fev mar 24.xls,Relatório Solicitação,PROGRAMA DO RATINHO,14/12/2023,3455,GRAVADO,PROGRAMA,ARAPUCA,ITAMARACA / SOLEVANTE,NOVA BANDA DO RATINHO,PERFORMANCE,100.00%,"799,71",PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,,,,79971,800
SBT,Unificado SBT nov dez 23 e jan fev mar 24.xls,Relatório Solicitação,PROGRAMA DO RATINHO,14/12/2023,3455,GRAVADO,PROGRAMA,QUIABO CRU,ADECIDIO BARBOZA DOS SANTOS,ADELSON BARBOSA,PERFORMANCE,100.00%,"799,71",DIVERSAS,,,,79971,800
SBT,Unificado SBT nov dez 23 e jan fev mar 24.xls,Relatório Solicitação,PROGRAMA DO RATINHO,14/12/2023,3455,GRAVADO,PROGRAMA,QUEM QUISER BEBER QUE BEBA,CAJU / CASTANHA,CAJÚ E CASTANHA,FUNDO MUSICAL,100.00%,"1599,43",FUSION MUSIC EDIÇÕES MUSICAIS LTDA,,,,159943,1599
