provider,file,sheet,rows,found_columns
Aparecida,01-JAN2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,379,titulo_musica
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,408,titulo_musica
Aparecida,12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,515,titulo_musica
Band,Relatorio_UBEM band out2023.xls,Relatorio_UBEM,50,
Band,Relatório_UBEM_TV_Bandeirantes_Dezembro2024.xlsx,Relatorio_UBEM,329,
Band,Relatório_UBEM_TV_Bandeirantes_Dezembro2024_MelhorDaNoite.xlsx,Relatorio_UBEM,403,titulo_musica
Band,Relatório_UBEM_TV_Bandeirantes_Fevereiro2024.xls,Relatorio_UBEM,1024,
Band,Relatório_UBEM_TV_Bandeirantes_Janeiro2024.xls,Relatorio_UBEM,878,titulo_musica
Band,band UNIFICADO out dez 2023 jan fev 2024.xls,Relatorio_UBEM,2563,programa;data_exibicao;titulo_musica;autor;interprete;valor_editora_brl
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,232,titulo_musica
Canal Brasil,Ubem_CanalBrasil_Fev24 (1).xlsx,CanalBrasil_Fevereiro24,276,titulo_musica
Canal Brasil,Ubem_CanalBrasil_Março24 (1).xlsx,Relatório UBEM - Canal Brasil,394,titulo_musica
Desconhecido,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,77,data_exibicao;numero_programa;titulo_musica;autor;interprete;isrc
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,1505,data_exibicao;numero_programa;titulo_musica;autor;interprete
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,1307,data_exibicao;numero_programa;titulo_musica;autor;interprete
Globo,Relatorio_CanaisGlobo__Jan24.xlsx,CanaisGlobo_Janeiro24,10987,titulo_musica
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,9144,titulo_musica
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,77,data_exibicao;numero_programa;titulo_musica;autor;interprete;isrc
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23.xlsx,MusicCueSheet_Globoplay_Nov23,129,data_exibicao;numero_programa;titulo_musica;autor;interprete;isrc
Globo,Ubem_RelatórioGlobo_FEV24.xlsx,CanaisGlobo_Fevereiro24,8878,titulo_musica
Globo,CanalBrasil_Dezembro2023.xlsx,CanalBrasil_Dezembro2023,372,titulo_musica
Globo,CanalInternacional_Dezembro2023.xlsx,CanalInternacional_Dezembro2023,327,titulo_musica
