provider,file,sheet,programa,data_exibicao,numero_programa,exibicao_tipo,categoria_programa,titulo_musica,autor,interprete,tipo_sincronizacao,percentual_editora,valor_editora_brl,editora,gravadora,iswc,isrc,amount_cents,amount_int
Band,band UNIFICADO out dez 2023 jan fev 2024.xls,Relatorio_UBEM,PROGRAMA DO JOÂO,2023-10-21,,,,E TARDE DEMAIS,ELIAS MUNIZ / LUIZ CARLOS,SERIAL FUNKERS,747.38,,799.6966,,,,,799696600,7996966
Band,band UNIFICADO out dez 2023 jan fev 2024.xls,Relatorio_UBEM,PROGRAMA DO JOÂO,2023-10-21,,,,STAYIN ALIVE, BARRY GIBB / MAURICE GIBB / ROBIN GIBB,SERIAL FUNKERS,747.38,,799.6966,,,,,799696600,7996966
Band,band UNIFICADO out dez 2023 jan fev 2024.xls,Relatorio_UBEM,PROGRAMA DO JOÂO,2023-10-21,,,,GONNA MAKE YOU SWEAT,FREDERICK B WILLIAMS / ROBERT CLIVILLES,SERIAL FUNKERS,747.38,,799.6966,,,,,799696600,7996966
Band,band UNIFICADO out dez 2023 jan fev 2024.xls,Relatorio_UBEM,PROGRAMA DO JOÂO,2023-10-21,,,,WHO LET THE DOGS OUT,MICHAEL MANGINI / S GREENBERG,BAHA MEN,1494.76,,1599.3932,,,,,1599393200,15993932
Band,band UNIFICADO out dez 2023 jan fev 2024.xls,Relatorio_UBEM,PROGRAMA DO JOÂO,2023-10-21,,,,CHAMELEON,BERNIE TAUPIN / ELTON JOHN / B MAUPIN / H MASON / HERBIE HANCOCK / P JACKSON,SERIAL FUNKERS,747.38,,799.6966,,,,,799696600,7996966
Band,band UNIFICADO out dez 2023 jan fev 2024.xls,Relatorio_UBEM,PROGRAMA DO JOÂO,2023-10-21,,,,LOVE ME LIKE YOU DO,MAX MARTIN / SAVAN KOTECHA / ILYA SALMANZADEH / ALI PAYAMI / TOVE LO,ELLIE GOULDING,1046.33,,1119.57,,,,,111957,1120
Band,band UNIFICADO out dez 2023 jan fev 2024.xls,Relatorio_UBEM,PROGRAMA DO JOÂO,2023-10-21,,,,HINO DO CRUZEIRO,JADIR AMBROSIO,SERIAL FUNKERS,747.38,,799.6966,,,,,799696600,7996966
Band,band UNIFICADO out dez 2023 jan fev 2024.xls,Relatorio_UBEM,PROGRAMA DO JOÂO,2023-10-21,,,,BALLENA,PH / VEIGH / VULGO FK,RONALD DJ / MALIFOO,747.38,,799.6966,,,,,799696600,7996966
Band,band UNIFICADO out dez 2023 jan fev 2024.xls,Relatorio_UBEM,PROGRAMA DO JOÂO,2023-10-21,,,,ESPELHO,MC DAVI,RONALD DJ / MC DAVI,747.38,,799.6966,,,,,799696600,7996966
Band,band UNIFICADO out dez 2023 jan fev 2024.xls,Relatorio_UBEM,PROGRAMA DO JOÂO,2023-10-21,,,,BIPOLAR,MC DAVI / MC DON JUAN / MC PEDRINHO / DJ 900,RONALD DJ / MC DAVI,747.38,,799.6966,,,,,799696600,7996966
Band,band UNIFICADO out dez 2023 jan fev 2024.xls,Relatorio_UBEM,PROGRAMA DO JOÂO,2023-10-21,,,,RITA,TIERRY,TIERRY,1046.33,,1119.57,,,,,111957,1120
Band,band UNIFICADO out dez 2023 jan fev 2024.xls,Relatorio_UBEM,PROGRAMA DO JOÂO,2023-10-21,,,,ATRASADINHA,DIEGO BARAO / WYNNIE SANTOS NOGUEIRA / LEO BRANDAO,FELIPE ARAUJO,1046.33,,1119.57,,,,,111957,1120
Band,band UNIFICADO out dez 2023 jan fev 2024.xls,Relatorio_UBEM,PROGRAMA DO JOÂO,2023-10-21,,,,JOHNNY BE GOODE,CHUCK BERRY,SERIAL FUNKERS,3736.89,,3998.4723,,,,,3998472300,39984723
Band,band UNIFICADO out dez 2023 jan fev 2024.xls,Relatorio_UBEM,PROGRAMA DO JOÂO,2023-10-21,,,,HAPPY 1,CARLA MARIE / PHARRELL WILLIAMS,SERIAL FUNKERS,3736.89,,3998.4723,,,,,3998472300,39984723
