Programa,Exibição,Música,Autor,Intérprete,Editora,Tipo,TOTAL,Mídia,Canal,Gênero,Episódio Nr.,Acervo Sim ou Não,Data da 1ª Exibição (apenas para conferência),Exibição.1,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
502,2024-11-18 00:00:00,Dentro Ali,Luedji Luna,Luedji Luna,Dubas Musica Ltda,Fundo Musical,,TV Fechada,Canal Brasil,Variedade,29.0,Não,2020-12-21,Reprise,,,,True,artist_alias,Relatório UBEM - Canal Brasil
Faixa Musical - Mês Da Consciência Negra: Sambabook Jorge Aragão,2024-11-16 00:00:00,Enredo Do Meu Samba,"Jorge Aragão,Yvonne Lara",Jorge Vercillo,Warner Chappell Edicoes Musicais Ltda,Performance Acervo,,TV Fechada,Canal Brasil,Variedade,1.0,Sim,2016-12-17,Reprise,,,,True,artist_alias,Relatório UBEM - Canal Brasil
Faixa Musical - Mês Da Consciência Negra: Sambabook Jorge Aragão,2024-11-16 00:00:00,Moleque Atrevido,"Flavio Cardoso,Jorge Aragão,Paulinho Rezende",Emicida,"Nowa Producoes Artisticas Ltda Epp,Universal Music Publishing Mgb Brasil Ltda,Unknown Publisher",Performance Acervo,,TV Fechada,Canal Brasil,Variedade,1.0,Sim,2016-12-17,Reprise,,,,True,artist_alias,Relatório UBEM - Canal Brasil
Faixa Musical - Mês Da Consciência Negra: Sambabook Jorge Aragão,2024-11-16 00:00:00,Toque De Malícia,Jorge Aragão,Lenine,Warner Chappell Edicoes Musicais Ltda,Performance Acervo,,TV Fechada,Canal Brasil,Variedade,1.0,Sim - Excedente,2016-12-17,Reprise,,,,True,artist_alias,Relatório UBEM - Canal Brasil
502,2025-03-04 00:00:00,Dentro Ali,Luedji Luna,Luedji Luna,Dubas Musica Ltda,Fundo Musical,,TV Fechada,Canal Brasil,Variedade,29.0,Não,2020-12-21,Reprise,,,,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2025-03-01 00:00:00,Felizes Eram Os Golfinhos,"Edgar,Pupillo",Edgar,Warner Chappell Edicoes Musicais Ltda,Performance Acervo,,,,,,,,,,,,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2025-03-01 00:00:00,O Amor Está Preso?,"David Bovee,Edgar,Mauricio Fleury,Pupillo",Edgar,"Unknown Publisher,Warner Chappell Edicoes Musicais Ltda",Performance Acervo,,,,,,,,,,,,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2025-03-01 00:00:00,Print,"Edgar,Pupillo",Edgar,Warner Chappell Edicoes Musicais Ltda,Performance Acervo,,,,,,,,,,,,True,artist_alias,Relatório UBEM - Canal Brasil
Versões,2025-03-01 00:00:00,Admirável Chip Novo,Pitty,Day,"Unknown Publisher,Warner Chappell Edicoes Musicais Ltda",Performance,,,,,,,,,,,,True,artist_alias,Relatório UBEM - Canal Brasil
Versões,2025-03-01 00:00:00,Brinquedo Torto,Pitty,Day,Warner Chappell Edicoes Musicais Ltda,Performance,,,,,,,,,,,,True,artist_alias,Relatório UBEM - Canal Brasil
