Programa,Exibição,Música,Autor,Intérprete,Editora,Tipo,TOTAL,Mídia,Canal,Gênero,Episódio Nr.,Acervo Sim ou Não,Data da 1ª Exibição (apenas para conferência),Exibição.1,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
Versões,2025-03-01 00:00:00,Deja Vu,"Peu Souza,Pitty",Day,Warner Chappell Edicoes Musicais Ltda,Performance,,,,,,,,,,DÉJÀ VU,T-308.187.765-4,True,artist_alias,Relatório UBEM - Canal Brasil
Versões,2025-03-01 00:00:00,Máscara,Pitty,Day,Warner Chappell Edicoes Musicais Ltda,Performance,,,,,,,,,,MÁSCARA,,True,artist_alias,Relatório UBEM - Canal Brasil
Versões,2025-03-01 00:00:00,Teto De Vidro,Pitty,Day,Warner Chappell Edicoes Musicais Ltda,Performance,,,,,,,,,,TETO DE VIDRO,T-321.537.364-7,True,artist_alias,Relatório UBEM - Canal Brasil
Ivete 3.0,2025-03-01 00:00:00,Gigante,"Ivete Sangalo,Samir Pereira Trindade",Ivete Sangalo,Warner Chappell Edicoes Musicais Ltda,Performance,,,,,,,,,,GIGANTE,GUSTAVO ZUCHOWSKI STROTTMANN,True,artist_alias,Relatório UBEM - Canal Brasil
Ivete 3.0,2025-03-01 00:00:00,Macetando,"Ivete Sangalo,Luciano Chaves Dos Santos,Samir Pereira Trindade",Ivete Sangalo,"Onerpm Comercio E Servicos De Midia Digital Ltda,Warner Chappell Edicoes Musicais Ltda",Performance,,,,,,,,,,MACETANDO,T-318.000.000-0,True,artist_alias,Relatório UBEM - Canal Brasil
Palco Principal: Rock In Rio 2024 - Ivete Sangalo,2025-03-02 00:00:00,Macetando,"Ivete Sangalo,Luciano Chaves Dos Santos,Samir Pereira Trindade",Ivete Sangalo,"Onerpm Comercio E Servicos De Midia Digital Ltda,Warner Chappell Edicoes Musicais Ltda",Performance,,,,,,,,,,MACETANDO,T-318.000.000-0,True,artist_alias,Relatório UBEM - Canal Brasil
Versões,2025-03-02 00:00:00,Deja Vu,"Peu Souza,Pitty",Day,Warner Chappell Edicoes Musicais Ltda,Performance,,,,,,,,,,DÉJÀ VU,T-308.187.765-4,True,artist_alias,Relatório UBEM - Canal Brasil
Versões,2025-03-02 00:00:00,Máscara,Pitty,Day,Warner Chappell Edicoes Musicais Ltda,Performance,,,,,,,,,,MÁSCARA,,True,artist_alias,Relatório UBEM - Canal Brasil
Versões,2025-03-02 00:00:00,Teto De Vidro,Pitty,Day,Warner Chappell Edicoes Musicais Ltda,Performance,,,,,,,,,,TETO DE VIDRO,T-321.537.364-7,True,artist_alias,Relatório UBEM - Canal Brasil
Palco Principal: Rock In Rio 2024 - Ivete Sangalo,2025-03-04 00:00:00,Macetando,"Ivete Sangalo,Luciano Chaves Dos Santos,Samir Pereira Trindade",Ivete Sangalo,"Onerpm Comercio E Servicos De Midia Digital Ltda,Warner Chappell Edicoes Musicais Ltda",Performance,,,,,,,,,,MACETANDO,T-318.000.000-0,True,artist_alias,Relatório UBEM - Canal Brasil
