key_norm,key_type,raw_value,source
!mecha!,title,!mecha!,OBRAS/FONOGRAMAS/Eligible
#akumasbeizeblackinjazz,title,#akumasbeizeblackinjazz,OBRAS/FONOGRAMAS/Eligible
#cdv (circulo da vida),title,#cdv (circulo da vida),OBRAS/FONOGRAMAS/Eligible
#livreparatodos,title,#livreparatodos,OBRAS/FONOGRAMAS/Eligible
#monticoisanobolsodochernobyl,title,#monticoisanobolsodochernobyl,OBRAS/FONOGRAMAS/Eligible
$port$ujo,title,$port$ujo,OBRAS/FONOGRAMAS/Eligible
$uavont$,title,$uavont$,OBRAS/FONOGRAMAS/Eligible
(...),title,(...),OBRAS/FONOGRAMAS/Eligible
(des)obedecer,title,(des)obedecer,OBRAS/FONOGRAMAS/Eligible
(essa noite) a casa e nossa,title,(essa noite) a casa e nossa,OBRAS/FONOGRAMAS/Eligible
(eu sei) voce esqueceu,title,(eu sei) voce esqueceu,OBRAS/FONOGRAMAS/Eligible
(nao) vou te esperar,title,(nao) vou te esperar,OBRAS/FONOGRAMAS/Eligible
(nunca) e tarde pra nos dois,title,(nunca) e tarde pra nos dois,OBRAS/FONOGRAMAS/Eligible
(primeiro) musiquinha pra hanna,title,(primeiro) musiquinha pra hanna,OBRAS/FONOGRAMAS/Eligible
+ que 1 amigo,title,+ que 1 amigo,OBRAS/FONOGRAMAS/Eligible
+q1 vanessa - ou o vanessa,title,+q1 vanessa - ou o vanessa,OBRAS/FONOGRAMAS/Eligible
... ou provavelmente eu estarei dormindo,title,... ou provavelmente eu estarei dormindo,OBRAS/FONOGRAMAS/Eligible
00:00:00,title,00:00:00,OBRAS/FONOGRAMAS/Eligible
04:20:00,title,04:20:00,OBRAS/FONOGRAMAS/Eligible
061 freestyle,title,061 freestyle,OBRAS/FONOGRAMAS/Eligible
081 ddd,title,081 ddd,OBRAS/FONOGRAMAS/Eligible
09:00:00,title,09:00:00,OBRAS/FONOGRAMAS/Eligible
1 de agosto,title,1 de agosto,OBRAS/FONOGRAMAS/Eligible
1 pra 1,title,1 pra 1,OBRAS/FONOGRAMAS/Eligible
1 x 1,title,1 x 1,OBRAS/FONOGRAMAS/Eligible
10 minutinhos dos funks mais tocados x,title,10 minutinhos dos funks mais tocados x,OBRAS/FONOGRAMAS/Eligible
100 coisas pra fazer,title,100 coisas pra fazer,OBRAS/FONOGRAMAS/Eligible
100 olhar,title,100 olhar,OBRAS/FONOGRAMAS/Eligible
1000o,title,1000o,OBRAS/FONOGRAMAS/Eligible
12 x u,title,12 x u,OBRAS/FONOGRAMAS/Eligible
13kg,title,13kg,OBRAS/FONOGRAMAS/Eligible
14,title,14,OBRAS/FONOGRAMAS/Eligible
15 matinadas,title,15 matinadas,OBRAS/FONOGRAMAS/Eligible
157,title,157,OBRAS/FONOGRAMAS/Eligible
157 de xoxota,title,157 de xoxota,OBRAS/FONOGRAMAS/Eligible
160 equipada,title,160 equipada,OBRAS/FONOGRAMAS/Eligible
19,title,19,OBRAS/FONOGRAMAS/Eligible
1904 alarm,title,1904 alarm,OBRAS/FONOGRAMAS/Eligible
1996,title,1996,OBRAS/FONOGRAMAS/Eligible
2 x 2 meu amor,title,2 x 2 meu amor,OBRAS/FONOGRAMAS/Eligible
20,title,20,OBRAS/FONOGRAMAS/Eligible
20 de cada,title,20 de cada,OBRAS/FONOGRAMAS/Eligible
200 oncas,title,200 oncas,OBRAS/FONOGRAMAS/Eligible
200 por hora,title,200 por hora,OBRAS/FONOGRAMAS/Eligible
200 por minuto,title,200 por minuto,OBRAS/FONOGRAMAS/Eligible
200gr de pma,title,200gr de pma,OBRAS/FONOGRAMAS/Eligible
2012,title,2012,OBRAS/FONOGRAMAS/Eligible
2020,title,2020,OBRAS/FONOGRAMAS/Eligible
2020 numa casca de noz,title,2020 numa casca de noz,OBRAS/FONOGRAMAS/Eligible
20vinci,title,20vinci,OBRAS/FONOGRAMAS/Eligible
22 anos,title,22 anos,OBRAS/FONOGRAMAS/Eligible
24 horas,title,24 horas,OBRAS/FONOGRAMAS/Eligible
24h,title,24h,OBRAS/FONOGRAMAS/Eligible
"25 e natal, 31 e ano novo",title,"25 e natal, 31 e ano novo",OBRAS/FONOGRAMAS/Eligible
3 macetes,title,3 macetes,OBRAS/FONOGRAMAS/Eligible
3 meses,title,3 meses,OBRAS/FONOGRAMAS/Eligible
3 pontas,title,3 pontas,OBRAS/FONOGRAMAS/Eligible
3 pra 3,title,3 pra 3,OBRAS/FONOGRAMAS/Eligible
30kg de merda,title,30kg de merda,OBRAS/FONOGRAMAS/Eligible
32 barras,title,32 barras,OBRAS/FONOGRAMAS/Eligible
360,title,360,OBRAS/FONOGRAMAS/Eligible
3793850,title,3793850,OBRAS/FONOGRAMAS/Eligible
3793851,title,3793851,OBRAS/FONOGRAMAS/Eligible
3793852,title,3793852,OBRAS/FONOGRAMAS/Eligible
3793856,title,3793856,OBRAS/FONOGRAMAS/Eligible
