source_sheet,term,term_type
ConsolidadoDiversos_Dezembro23,Deja Vu,music
ConsolidadoDiversos_Dezembro23,"Peu Souza,Pitty",author
ConsolidadoDiversos_Dezembro23,Máscara,music
ConsolidadoDiversos_Dezembro23,Pitty,author
ConsolidadoDiversos_Dezembro23,Teto De Vidro,music
ConsolidadoDiversos_Dezembro23,Temporal,music
ConsolidadoDiversos_Dezembro23,"Iuri Rio Branco D Luz,Marina Sena",author
ConsolidadoDiversos_Dezembro23,Penumbra,music
ConsolidadoDiversos_Dezembro23,Gustavo Marques,author
ConsolidadoDiversos_Dezembro23,Tentação,music
ConsolidadoDiversos_Dezembro23,"Drik Barbosa,Grou,L1ra,Oz,Raoni Kanalha,Rdd,Thiago Dos Reis Pereira,Wallace Ferreira",author
ConsolidadoDiversos_Dezembro23,Xerecard,music
ConsolidadoDiversos_Dezembro23,"Jeff Costa,Mc Danny",author
ConsolidadoDiversos_Dezembro23,Aquelas Coisas,music
ConsolidadoDiversos_Dezembro23,João Marcelo Cardoso Ramalho,author
ConsolidadoDiversos_Dezembro23,Jogo Da Vida,music
ConsolidadoDiversos_Dezembro23,"Dante Augusto Lima Cabral Da Costa,Potyguara Bardo,Walther Nazario Da Silva Junior",author
ConsolidadoDiversos_Dezembro23,Mistério,music
ConsolidadoDiversos_Dezembro23,"Ivete Sangalo,Samir Trindade",author
ConsolidadoDiversos_Dezembro23,Ritual,music
ConsolidadoDiversos_Dezembro23,"Leonardo Irian,Neto",author
MusicCueSheet_TvAberta_Out23,DINGO BELL,music
MusicCueSheet_TvAberta_Out23,MC BIGODINHO,author
CanalInternacional_Dezembro2023,DINGO BELL,music
CanalInternacional_Dezembro2023,MC BIGODINHO,author
Relatório Solicitação,MACETANDO,music
Relatório Solicitação,IVERSON DE SOUZA ARAUJO,author
Relatório Solicitação,IVETE MARIA DIAS DE SANGALO / LUCIANO CHAVES DOS SANTOS / SAMIR PEREIRA TRINDADE,author
Relatório Solicitação,DEIXE QUEIMAR,music
Relatório Solicitação,Henrique Mendonça / Henrique Mendonça,author
MusicCueSheet_Globoplay_Nov23,DINGO BELL,music
MusicCueSheet_Globoplay_Nov23,MC BIGODINHO,author
Relatorio_UBEM,MACETANDO,music
Relatorio_UBEM,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,author
Relatorio_UBEM,HEY,music
Relatorio_UBEM,IVETE SANGALO,author
Relatorio_UBEM,PACIENCIA,music
Relatorio_UBEM,DUDU FALCAO / LENINE,author
