provider,file_stem,explicit_rows_total,explicit_with_rows,explicit_value_brl_int,alias_rows_total,alias_with_rows,alias_value_brl_int
CanalBrasil unificado Jan fev mar24 dez 2023,CanalBrasil unificado Jan fev mar24 dez 2023,0,0,0,12,0,0
Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023,41,0,0,555,0,0
Globo,MusicCueSheet_TvAberta_Agosto2023,0,0,0,24,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023,0,0,0,61,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24,0,0,0,3,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23,1,0,0,0,0,0
Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,1,0,0,149,0,0
Globo Unificado nov dez2023,Globo Unificado nov dez2023,1,0,0,174,0,0
SBT,Unificado SBT nov dez 23 e jan fev mar 24,4,4,6693,56,56,50792
SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24,4,4,6693,56,56,50792
Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024,0,0,0,2,0,0
band UNIFICADO out dez 2023 jan fev 2024,band UNIFICADO out dez 2023 jan fev 2024,8,8,419,43,43,4372
