provider,supplier_file,sheet,supplier_title,supplier_artist,matched_term,matched_identifier,match_type
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Segredo,João Nogueira,SEGREDO,T-039.611.383-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Anima,Milton Nascimento,ANIMA,T-039.497.775-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Travessia,Milton Nascimento,TRAVESSIA,T-313.642.509-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Identidade,Leci Brandão,IDENTIDADE,T-039.497.763-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Tem Nada Não,Joyce Cândido,TEM NADA NAO,T-040.303.145-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Summertime,Rosinha De Valença,SUMMERTIME,T-317.793.940-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Summertime,Kat Edmonson,SUMMERTIME,T-317.793.940-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Segredo,João Nogueira,SEGREDO,T-039.611.383-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Pelas Ruas Da Cidade,Paulo César Pinheiro,PELAS RUAS DA CIDADE,T-325.057.705-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Onde Está Você,Tuyo,ONDE ESTA VOCE,T-040.271.868-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Perigo,Tássia Reis,PERIGO,T-301.572.557-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Perigo,Tássia Reis,PERIGO,T-302.809.006-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Banana,Joyce Moreno,BANANA,T-303.113.484-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Tudo,Joyce Moreno,TUDO,T-301.718.723-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Deja Vu,Day,DÉJÀ VU,T-308.187.765-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Máscara,Day,MÁSCARA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Teto De Vidro,Day,TETO DE VIDRO,T-321.537.364-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Travessia,Milton Nascimento,TRAVESSIA,T-313.642.509-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Alvorada,Cartola,ALVORADA,T-040.011.846-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Alvorada,Cartola,ALVORADA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Gigante,Ivete Sangalo,GIGANTE,GUSTAVO ZUCHOWSKI STROTTMANN,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Macetando,Ivete Sangalo,MACETANDO,T-318.000.000-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Beijinho No Ombro,Valesca Popozuda,BEIJINHO NO OMBRO,T-311.569.064-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Treme Treme,"As Gêmeas Lacração,Mc Loma",TREME TREME,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Esquema,Mia Wicthoff,ESQUEMA,T-319.876.005-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Esquema,Mia Wicthoff,ESQUEMA,T-318.043.291-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Fuleragem,Mc Wm,FULERAGEM,T-305.214.250-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Perigo,Tássia Reis,PERIGO,T-301.572.557-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Perigo,Tássia Reis,PERIGO,T-302.809.006-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Banana,Joyce Moreno,BANANA,T-303.113.484-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Tudo,Joyce Moreno,TUDO,T-301.718.723-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Deixa Eu Sonhar,Joelma,DEIXA EU SONHAR,T-040.000.420-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Lágrimas De Sangue,Yasmin Mendes,LÁGRIMAS DE SANGUE,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Macetando,Ivete Sangalo,MACETANDO,T-318.000.000-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Crucificados Pelo Sistema,Ratos Do Porão,CRUCIFICADOS PELO SISTEMA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sentir Ódio E Nada Mais,Ratos De Porão,SENTIR ODIO E NADA MAIS,T-039.593.539-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Deja Vu,Day,DÉJÀ VU,T-308.187.765-4,title_only
