file,category,score,last_commit_date
README.md,Docs: project README,100,2025-11-07 20:01:59 -0300
Estelita/build_explicit_counts_by_sheet.py,Core code script,95,2025-11-07 20:01:59 -0300
Estelita/build_definitive_explicit_csv.py,Core code script,95,2025-11-07 19:40:52 -0300
Estelita/build_explicit_terms_index.py,Core code script,95,2025-11-07 19:30:03 -0300
Estelita/build_files_summary.py,Core code script,95,2025-11-07 19:30:03 -0300
Estelita/build_unified_summaries.py,Core code script,95,2025-11-07 19:30:03 -0300
Estelita/build_value_rollups.py,Core code script,95,2025-11-07 19:30:03 -0300
Estelita/export_sbt_rights_eligible.py,Core code script,95,2025-11-07 19:30:03 -0300
Estelita/run_full_pipeline.py,Core code script,95,2025-11-07 19:30:03 -0300
Estelita/normalize_fornecedores.py,Core code script,95,2025-11-07 18:51:32 -0300
Estelita/build_providers_summary.py,Core code script,95,2025-11-07 18:38:34 -0300
Estelita/audit_search_coverage.py,Core code script,95,2025-11-07 18:23:21 -0300
Estelita/build_searchable_base.py,Core code script,95,2025-11-07 18:23:21 -0300
Estelita/build_fornecedores_summaries.py,Core code script,95,2025-11-07 16:46:56 -0300
Estelita/build_finance_pack.py,Core code script,95,2025-11-07 16:35:15 -0300
Estelita/print_explicit_metrics.py,Core code script,95,2025-11-07 16:35:15 -0300
Estelita/export_matches_from_supplier_file.py,Core code script,95,2025-11-07 13:21:50 -0300
Estelita/build_eligible_catalog.py,Core code script,95,2025-11-07 11:42:16 -0300
Estelita/analyze_supplier_readiness.py,Core code script,95,2025-11-07 10:31:27 -0300
Estelita/batch_match_suppliers.py,Core code script,95,2025-11-07 10:31:27 -0300
Estelita/build_relations_duckdb.py,Core code script,95,2025-11-07 10:31:27 -0300
Estelita/coverage_report.py,Core code script,95,2025-11-07 10:31:27 -0300
Estelita/estelita_consolidator.py,Core code script,95,2025-11-07 10:31:27 -0300
Estelita/prepare_titles_and_match_suppliers.py,Core code script,95,2025-11-07 10:31:27 -0300
Estelita/run_match.py,Core code script,95,2025-11-07 10:31:27 -0300
Estelita/GPT Correction executor.py,Core code script,95,2025-11-06 16:47:13 -0300
Estelita/GPT correction excutor 2.py,Core code script,95,2025-11-06 16:47:13 -0300
Estelita/match_estelita_data.py,Core code script,95,2025-11-06 16:47:13 -0300
Estelita/script ingest_fornecedores.py,Core code script,95,2025-11-06 16:47:13 -0300
Estelita/Raw/Unified/CanalBrasil unificado Jan fev mar24 dez 2023.xlsx,Tracked unified input,85,2025-11-07 17:14:14 -0300
Estelita/Raw/Unified/Clipes Unificados_nov Dez 2023.xlsx,Tracked unified input,85,2025-11-07 17:14:14 -0300
Estelita/Raw/Unified/Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx,Tracked unified input,85,2025-11-07 17:14:14 -0300
Estelita/Raw/Unified/Globo Unificado nov dez2023.xlsx,Tracked unified input,85,2025-11-07 17:14:14 -0300
Estelita/Raw/Unified/SBT Unificado  nov dez 23 e jan fev mar 24.xlsx,Tracked unified input,85,2025-11-07 17:14:14 -0300
Estelita/Raw/Unified/Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx,Tracked unified input,85,2025-11-07 17:14:14 -0300
Estelita/Raw/Unified/band UNIFICADO out dez 2023 jan fev 2024.xlsx,Tracked unified input,85,2025-11-07 17:14:14 -0300
Estelita/Processed/Summaries/Explicit_Matches_All.csv,Generated summary (useful),80,2025-11-07 20:01:59 -0300
