title_supplier,artist,title_norm,author_norm,title_ref,author,source,author_norm_supplier,author_norm_ref
Segredo,João Nogueira,segredo,,SEGREDO,T-039.611.383-9,,joao nogueira,t-039.611.383-9
Anima,Milton Nascimento,anima,,ANIMA,T-039.497.775-3,,milton nascimento,t-039.497.775-3
Travessia,Milton Nascimento,travessia,,TRAVESSIA,T-313.642.509-3,,milton nascimento,t-313.642.509-3
Identidade,Leci Brandão,identidade,,IDENTIDADE,T-039.497.763-9,,leci brandao,t-039.497.763-9
Tem Nada Não,Joyce Cândido,tem nada nao,,TEM NADA NAO,T-040.303.145-7,,joyce candido,t-040.303.145-7
Summertime,Rosinha De Valença,summertime,,SUMMERTIME,T-317.793.940-7,,rosinha de valenca,t-317.793.940-7
Summertime,Kat Edmonson,summertime,,SUMMERTIME,T-317.793.940-7,,kat edmonson,t-317.793.940-7
Segredo,João Nogueira,segredo,,SEGREDO,T-039.611.383-9,,joao nogueira,t-039.611.383-9
Pelas Ruas Da Cidade,Paulo César Pinheiro,pelas ruas da cidade,,PELAS RUAS DA CIDADE,T-325.057.705-6,,paulo cesar pinheiro,t-325.057.705-6
Onde Está Você,Tuyo,onde esta voce,,ONDE ESTA VOCE,T-040.271.868-6,,tuyo,t-040.271.868-6
Perigo,Tássia Reis,perigo,,PERIGO,T-301.572.557-8,,tassia reis,t-301.572.557-8
Perigo,Tássia Reis,perigo,,PERIGO,T-302.809.006-0,,tassia reis,t-302.809.006-0
Banana,Joyce Moreno,banana,,BANANA,T-303.113.484-2,,joyce moreno,t-303.113.484-2
Tudo,Joyce Moreno,tudo,,TUDO,T-301.718.723-0,,joyce moreno,t-301.718.723-0
Deja Vu,Day,deja vu,,DÉJÀ VU,T-308.187.765-4,,day,t-308.187.765-4
Máscara,Day,mascara,,MÁSCARA,,,day,
Teto De Vidro,Day,teto de vidro,,TETO DE VIDRO,T-321.537.364-7,,day,t-321.537.364-7
Travessia,Milton Nascimento,travessia,,TRAVESSIA,T-313.642.509-3,,milton nascimento,t-313.642.509-3
Alvorada,Cartola,alvorada,,ALVORADA,T-040.011.846-8,,cartola,t-040.011.846-8
Alvorada,Cartola,alvorada,,ALVORADA,,,cartola,
Gigante,Ivete Sangalo,gigante,,GIGANTE,GUSTAVO ZUCHOWSKI STROTTMANN,,ivete sangalo,gustavo zuchowski strottmann
Macetando,Ivete Sangalo,macetando,,MACETANDO,T-318.000.000-0,,ivete sangalo,t-318.000.000-0
Beijinho No Ombro,Valesca Popozuda,beijinho no ombro,,BEIJINHO NO OMBRO,T-311.569.064-3,,valesca popozuda,t-311.569.064-3
Treme Treme,"As Gêmeas Lacração,Mc Loma",treme treme,,TREME TREME,,,"as gemeas lacracao,mc loma",
Esquema,Mia Wicthoff,esquema,,ESQUEMA,T-319.876.005-9,,mia wicthoff,t-319.876.005-9
Esquema,Mia Wicthoff,esquema,,ESQUEMA,T-318.043.291-7,,mia wicthoff,t-318.043.291-7
Fuleragem,Mc Wm,fuleragem,,FULERAGEM,T-305.214.250-0,,mc wm,t-305.214.250-0
