provider,file,sheet,total_rows,title_rows,author_rows,eligible_artist_rows,publisher_alias_rows,iswc_rows,isrc_rows
Aparecida,01-JAN2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,379,271,9,9,0,0,0
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,408,324,19,19,0,0,0
Aparecida,12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx,Sincronização Musical,515,392,12,14,0,0,0
Band,Relatorio_UBEM band out2023.xls,Relatorio_UBEM,50,4,0,0,0,0,0
Band,Relatório_UBEM_TV_Bandeirantes_Dezembro2024.xlsx,Relatorio_UBEM,329,7,14,16,0,0,0
Band,Relatório_UBEM_TV_Bandeirantes_Dezembro2024_MelhorDaNoite.xlsx,Relatorio_UBEM,403,16,7,7,0,0,0
Band,Relatório_UBEM_TV_Bandeirantes_Fevereiro2024.xls,Relatorio_UBEM,1024,69,35,41,0,0,0
Band,Relatório_UBEM_TV_Bandeirantes_Janeiro2024.xls,Relatorio_UBEM,878,30,14,20,0,0,0
Band,band UNIFICADO out dez 2023 jan fev 2024.xls,Relatorio_UBEM,2563,126,70,84,0,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,232,223,6,19,0,0,0
Canal Brasil,Ubem_CanalBrasil_Fev24 (1).xlsx,CanalBrasil_Fevereiro24,276,273,4,77,0,0,0
Canal Brasil,Ubem_CanalBrasil_Março24 (1).xlsx,Relatório UBEM - Canal Brasil,394,390,11,160,0,0,0
Desconhecido,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,77,44,33,34,0,0,32
Globo,MusicCueSheet_TvAberta_Agosto2023.xlsx,MusicCueSheet_Agosto23,1505,370,183,185,0,0,0
Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx,MusicCueSheet_TvAberta_Out23,1307,323,220,222,0,0,0
Globo,Relatorio_CanaisGlobo__Jan24.xlsx,CanaisGlobo_Janeiro24,10987,9670,634,847,1,0,0
Globo,Ubem_CanaisGlobo_Março24.xlsx,Relatório UBEM - Canais Globo,9144,6866,876,2636,0,0,0
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx,MusicCueSheet_Globoplay_Jan24,77,44,33,34,0,0,32
