title_norm,title_example,providers,count
tv fechada,TV Fechada,2,24798
multishow,Multishow,1,7026
bis,BIS,1,6652
dez/2023,DEZ/2023,1,6087
off,OFF,1,5585
tv aberta,TV ABERTA,1,4980
nov/2023,NOV/2023,1,4575
gnt,GNT,1,2047
diversas,DIVERSAS,1,1460
sony music publishing (brasil) edicoes musicais ltda,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,1,755
warner chappell edicoes musicais ltda,WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,1,749
universal music publishing mgb brasil ltda,UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,1,577
globoplay,Globoplay,2,515
canal brasil,CANAL BRASIL,2,475
nan,nan,4,403
set/2023,SET/2023,1,356
peermusic do brasil edicoes musicais ltda,PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,1,276
bmg rights management brasil ltda,BMG RIGHTS MANAGEMENT BRASIL LTDA,1,262
abramus digital serv. ident. repertorio,ABRAMUS DIGITAL SERV. IDENT. REPERTÓRIO,1,178
ago/2023,AGO/2023,1,106
2024-02-13 00:00:00,2024-02-13 00:00:00,1,94
2024-02-12 00:00:00,2024-02-12 00:00:00,1,94
irmaos vitale editores ltda,IRMÃOS VITALE EDITORES LTDA,1,90
2024-02-10 00:00:00,2024-02-10 00:00:00,1,85
2024-01-26 00:00:00,2024-01-26 00:00:00,1,81
2024-02-09 00:00:00,2024-02-09 00:00:00,1,76
erro gostoso,ERRO GOSTOSO,3,73
thiago abdulahad nunes rios me,THIAGO ABDULAHAD NUNES RIOS ME,1,63
2024-02-02 00:00:00,2024-02-02 00:00:00,1,60
palco,PALCO,3,58
deck producoes artisticas ltda,DECK PRODUÇÕES ARTÍSTICAS LTDA,1,58
editora e importadora musical fermata do brasil ltda,EDITORA E IMPORTADORA MUSICAL FERMATA DO BRASIL LTDA,1,57
2024-01-01 00:00:00,2024-01-01 00:00:00,1,56
addaf - ass. def. direitos autorais fonomecanicos,ADDAF - ASS. DEF. DIREITOS AUTORAIS FONOMECÂNICOS,1,55
2024-02-11 00:00:00,2024-02-11 00:00:00,1,53
zona de perigo,ZONA DE PERIGO,3,51
2024-02-05 00:00:00,2024-02-05 00:00:00,1,50
2024-01-29 00:00:00,2024-01-29 00:00:00,1,46
2024-01-12 00:00:00,2024-01-12 00:00:00,1,43
2024-01-02 00:00:00,2024-01-02 00:00:00,1,43
2024-01-22 00:00:00,2024-01-22 00:00:00,1,42
seven nation army,SEVEN NATION ARMY,1,42
2023-12-31 00:00:00,2023-12-31 00:00:00,1,41
mmm yeah,MMM YEAH,1,40
2024-01-27 00:00:00,2024-01-27 00:00:00,1,39
2024-01-19 00:00:00,2024-01-19 00:00:00,1,38
2024-02-20 00:00:00,2024-02-20 00:00:00,1,38
2024-01-04 00:00:00,2024-01-04 00:00:00,1,37
parabens a voce,PARABENS A VOCE,1,36
renata fan dance,RENATA FAN DANCE,1,36
