EDITORA,PROGRAMA,NÚMERO PROGRAMA,EXIBIÇÃO (GRAVADO OU REPRISE),"CATEGORIA DO PROGRAMA (PROGRAMA, NOVELA)",DATA DE EXIBIÇÃO,NOME DA MÚSICA,AUTOR,INTERPRETE,TIPO DE SINCRONIZAÇÃO,PERCENTUAL A PAGAR - EDITORA,VALOR A PAGAR - EDITORA,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
DIVERSAS,ESPECIAL NATAL CIRCO,1,GRAVADO,PROGRAMA,25/12/2023,TEMPO DE ALEGRIA,Costa Silva Filipe / De Sant Anna Carlos Magno / Santos Neilton Cerqueira Dos,IVETE SANGALO,PERFORMANCE,100.00%,"799,71",,,,True,artist_alias,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA DO RATINHO,3457,GRAVADO,PROGRAMA,25/12/2023,O HOMEM DE NAZARETH,JOAO PEREIRA DE SA,MANÉ,PERFORMANCE,100.00%,"799,71",,,,True,artist_alias,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA DO RATINHO,3457,GRAVADO,PROGRAMA,25/12/2023,O HOMEM DE NAZARETH,JOAO PEREIRA DE SA,GUILHERME,PERFORMANCE,100.00%,"799,71",,,,True,artist_alias,Relatório Solicitação
DIVERSAS,PROGRAMA SILVIO SANTOS,809,GRAVADO,PROGRAMA,17/12/2023,OMBRIM,MARINA SENA,MARINA SENA,FUNDO MUSICAL,100.00%,"1599,43",,,,True,artist_alias,Relatório Solicitação
DIVERSAS,ELIANA,738,GRAVADO,PROGRAMA,12/11/2023,PROMETIDA,BR OZ,ANDRÉ,PERFORMANCE,100.00%,"799,71",,,,True,artist_alias,Relatório Solicitação
DIVERSAS,ELIANA,739,GRAVADO,PROGRAMA,19/11/2023,NADA MAIS,RONALDO BASTOS RIBEIRO / STEVLAND MORRIS,MARINA SENA,PERFORMANCE,66.66%,"533,09",,,,True,artist_alias,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,ELIANA,739,GRAVADO,PROGRAMA,19/11/2023,NADA MAIS,RONALDO BASTOS RIBEIRO / STEVLAND MORRIS,MARINA SENA,PERFORMANCE,33.34%,"266,62",,,,True,artist_alias,Relatório Solicitação
DIVERSAS,ELIANA,739,GRAVADO,PROGRAMA,19/11/2023,OMBRIM,MARINA SENA,MARINA SENA,PERFORMANCE,100.00%,"799,71",,,,True,artist_alias,Relatório Solicitação
IESSI MUSIC LABEL LTDA,PROGRAMA SILVIO SANTOS,805,GRAVADO,PROGRAMA,12/11/2023,TEMPO DE ALEGRIA,GIGI / FILIPE ESCANDURRAS / MAGNO SANT ANNA,IVETE SANGALO,FUNDO MUSICAL,100.00%,"1599,43",,,,True,artist_alias,Relatório Solicitação
DIVERSAS,THE NOITE,2456,GRAVADO,PROGRAMA,23/11/2023,NOVO BALANÇO,ANDRENAGALLIDE OLIVEIRA / MATHEUS MENDES DE ABREU / PEDRO GALVAO DE OLIVEIRA BUGARIB / THIAGO VEIGH DA SILVA,VEIGH,PERFORMANCE,75.00%,"599,78",,,,True,artist_alias,Relatório Solicitação
BMG RIGHTS MANAGEMENT BRASIL LTDA,THE NOITE,2456,GRAVADO,PROGRAMA,23/11/2023,NOVO BALANÇO,ANDRENAGALLIDE OLIVEIRA / MATHEUS MENDES DE ABREU / PEDRO GALVAO DE OLIVEIRA BUGARIB / THIAGO VEIGH DA SILVA,VEIGH,PERFORMANCE,25.00%,"199,93",,,,True,artist_alias,Relatório Solicitação
