PROGRAMA,Exibição,Música,Autor,Intérprete,Tipo,Sincronização,VOD,Total,Unnamed: 9,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
BAND ESPORTE CLUBE,2024-01-27,HABILIDADES EXTRAORDINARIAS,GUSTAVO ROIZ CHAGAS/ TULIPA ROIZ CHAGAS,TULIPA ROIZ CHAGAS,BK,0.0,62.7795,62.7795,,,,,True,artist_alias,Relatorio_UBEM
JOGO ABERTO,2024-01-02,CABECINHA NO OMBRO,FAGNER,FAGNER,BK,0.0,62.7795,62.7795,,,,,True,artist_alias,Relatorio_UBEM
JOGO ABERTO,2024-01-03,MENINOS DA VILA,LUCAS RAMOS CAMARGO FAUSTINO/ OSMAR DA SILVA FERREIRA/ VANILDO VICENTE SILVA FILHO/ ANTONIO RENATO PEREIRA DA CRUZ/ WELLITON CESAR MARCONDES MORAES,MC DIGUINHO,BK,0.0,62.7795,62.7795,,,,,True,artist_alias,Relatorio_UBEM
JOGO ABERTO,2024-01-26,MENINOS DA VILA,LUCAS RAMOS CAMARGO FAUSTINO/ OSMAR DA SILVA FERREIRA/ VANILDO VICENTE SILVA FILHO/ ANTONIO RENATO PEREIRA DA CRUZ/ WELLITON CESAR MARCONDES MORAES,MC DIGUINHO,BK,0.0,62.7795,62.7795,,,,,True,artist_alias,Relatorio_UBEM
MELHOR DA NOITE,2024-01-01,MISTERIOS DA MEIA NOITE,ZÉ RAMALHO,ZE RAMALHO,BK,0.0,104.6332,104.6332,,,,,True,artist_alias,Relatorio_UBEM
MELHOR DA NOITE,2024-01-01,MISTERIOS DA MEIA NOITE,ZÉ RAMALHO,ZE RAMALHO,BK,0.0,104.6332,104.6332,,,,,True,artist_alias,Relatorio_UBEM
MELHOR DA NOITE,2024-01-04,DISSERAM QUE ERA SO UM JOGUINHO,EMICIDA,EMICIDA,DM,0.0,73.2431,73.2431,,,,,True,artist_alias,Relatorio_UBEM
MELHOR DA NOITE,2024-01-16,TICK TACK,MONEY D / DOG JAY / ICE LEE / PARANA E PAULO SERGIO VALLE,EMICIDA,DM,0.0,73.2431,73.2431,,,,,True,artist_alias,Relatorio_UBEM
MELHOR DA NOITE,2024-01-29,NO CEARA E ASSIM,CARLOS BARROSO,FAGNER,DM,0.0,73.2431,73.2431,,,,,True,artist_alias,Relatorio_UBEM
MELHOR DA NOITE,2023-12-19,ACORDA PEDRINHO,BER PASQUALI / BERNARDO DERVICHE HEY / GABRIEL DUNAJSKI MENDES / GUSTAVO PIMENTEL KARAM / RAFAEL DUNAJSKI MENDES,JOVEM DIONISIO,DM,0.0,73.2431,73.2431,,,,,True,artist_alias,Relatorio_UBEM
MELHOR DA NOITE,2023-12-20,TAXI LUNAR,ALCEU VALENCA / GERALDO AZEVEDO / ZE RAMALHO,ZE RAMALHO,DM,0.0,73.2431,73.2431,,,,,True,artist_alias,Relatorio_UBEM
MELHOR DA NOITE,2023-12-28,CONVERSA DE BOTEQUIM,NOEL ROSA / VADICO / FRANCISCO ALVES,NOEL ROSA,DM,0.0,73.2431,73.2431,,,,,True,artist_alias,Relatorio_UBEM
BAND ESPORTE CLUBE,2024-02-10,ABALOU                                            ,GIGI                               ,IVETE SANGALO,BK,0.0,62.7795,62.7795,,,,,True,artist_alias,Relatorio_UBEM
BAND ESPORTE CLUBE,2024-02-10,PRETA,ALCIONE / SAULO / ENIO,SAULO,BK,0.0,62.7795,62.7795,,,,,True,artist_alias,Relatorio_UBEM
BAND ESPORTE CLUBE,2024-02-10,FESTA,ANDERSON CUNHA                     ,IVETE SANGALO,BK,0.0,62.7795,62.7795,,,,,True,artist_alias,Relatorio_UBEM
BAND ESPORTE CLUBE,2024-02-24,AVOHAI                                            ,JOSE RAMALHO NETO,ZÉ RAMALHO,BK,0.0,62.7795,62.7795,,,,,True,artist_alias,Relatorio_UBEM
BAND FOLIA,2024-02-10,O MUNDO VAI,IVETE SANGALO,IVETE SANGALO,PE,0.0,52.3166,52.3166,,,,,True,artist_alias,Relatorio_UBEM
BAND FOLIA,2024-02-10,CADÊ DALILA,IVETE SANGALO,IVETE SANGALO,PE,0.0,52.3166,52.3166,,,,,True,artist_alias,Relatorio_UBEM
BAND FOLIA,2024-02-10,SO LOVE NA CABECA,IVETE SANGALO / SAMIR TRINDADE / GIGI CERQUEIRA / RADAMES VENANCIO,IVETE SANGALO,PE,0.0,52.3166,52.3166,,,,,True,artist_alias,Relatorio_UBEM
BAND FOLIA,2024-02-10,CRIA DA IVETE,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO,PE,0.0,52.3166,52.3166,,,,,True,artist_alias,Relatorio_UBEM
BAND FOLIA,2024-02-12,VAMO OU BORA,LUCIANO CHAVES DOS SANTOS / MAGNO SANT ANNA,IVETE SANGALO,PE,0.0,52.3166,52.3166,,,,,True,artist_alias,Relatorio_UBEM
BAND FOLIA,2024-02-13,BATUTAS DE SÃO JOSÉ,ALMIR ROUCHE,LENINE,PE,0.0,52.3166,52.3166,,,,,True,artist_alias,Relatorio_UBEM
BAND FOLIA,2024-02-13,JACK SOUL BRASILEIRO,LENINE / PAULINHO MOSCA,LENINE,PE,0.0,52.3166,52.3166,,,,,True,artist_alias,Relatorio_UBEM
BAND FOLIA,2024-02-13,SO LOVE NA CABECA,IVETE SANGALO/SAMIR TRINDADE/GIGI CERQUEIRA/RADAMES VENANCIO,IVETE SANGALO,PE,0.0,52.3166,52.3166,,,,,True,artist_alias,Relatorio_UBEM
BAND FOLIA,2024-02-13,DO IT,IVAN SANTOS / LENINE,LENINE,PE,0.0,52.3166,52.3166,,,,,True,artist_alias,Relatorio_UBEM
BORA BRASIL,2024-02-02,CRIA DA IVETE,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO,BK,0.0,62.7795,62.7795,,,,,True,artist_alias,Relatorio_UBEM
BORA BRASIL,2024-02-02,CRIA DA IVETE,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO,BK,0.0,62.7795,62.7795,,,,,True,artist_alias,Relatorio_UBEM
MELHOR DA NOITE,2024-02-05,INNA MARANHAO STYLE,TRIBO DE JAH,TRIBO DE JAH,DM,0.0,73.2431,73.2431,,,,,True,artist_alias,Relatorio_UBEM
