PROGRAMA,Exibição,Música,Autor,Intérprete,Tipo,Sincronização,VOD,Total,Unnamed: 9,__title_norm,__author_norm,__is_match,__sheet
PROGRAMA DO JOÂO,2023-10-21,ESPELHO,MC DAVI,RONALD DJ / MC DAVI,PE,747.38,52.3166,799.6966,,espelho,ronald dj / mc davi,True,Relatorio_UBEM
PROGRAMA DO JOÂO,2023-10-21,BIPOLAR,MC DAVI / MC DON JUAN / MC PEDRINHO / DJ 900,RONALD DJ / MC DAVI,PE,747.38,52.3166,799.6966,,bipolar,ronald dj / mc davi,True,Relatorio_UBEM
PROGRAMA DO JOÂO,2023-10-28,VERMELHO ,CHICO DA SILVA,CALOUROS,PE,747.38,52.3166,799.6966,,vermelho,calouros,True,Relatorio_UBEM
PROGRAMA DO JOÂO,2023-10-28,LUA CHEIA,AMANDA CORONHA / BIBI / MAYRA / WANESSA CAMARGO,WANESSA CAMARGO,PE,747.38,52.3166,799.6966,,lua cheia,wanessa camargo,True,Relatorio_UBEM
BAND ESPORTE CLUBE,2024-01-13,VAMOS FUGIR,GILBERTO GIL/LIMINHA,THE WAILERS BAND,BK,0.0,62.7795,62.7795,,vamos fugir,the wailers band,True,Relatorio_UBEM
BAND ESPORTE CLUBE,2024-01-13,FINAL DE SEMANA,BLACK ALIEN/PAPATINHO/SEU JORGE,SEU JORGE / PAPATINHO E BLACK ALIEN,BK,0.0,62.7795,62.7795,,final de semana,seu jorge / papatinho e black alien,True,Relatorio_UBEM
BAND ESPORTE CLUBE,2024-01-13,FELICIDADE,SEU JORGE/ PRETINHO DA SERRINHA/ GABRIEL MOURA/ LEANDRO FAB,SEU JORGE / ALEXANDRE PIRES,BK,0.0,62.7795,62.7795,,felicidade,seu jorge / alexandre pires,True,Relatorio_UBEM
BAND ESPORTE CLUBE,2024-01-20,COBRA,FAR FROM ALASKA,FAR FROM ALASKA,BK,0.0,62.7795,62.7795,,cobra,far from alaska,True,Relatorio_UBEM
IGREJA UNIDA DEUS PROVERÁ,2024-01-04,FINAL FELIZ,ROSE NASCIMENTO,MARCOS FELIPE,PE,747.38,0.0,747.38,,final feliz,marcos felipe,True,Relatorio_UBEM
IGREJA UNIDA DEUS PROVERÁ,2024-01-17,FINAL FELIZ,ROSE NASCIMENTO,MARCOS FELIPE,PE,747.38,0.0,747.38,,final feliz,marcos felipe,True,Relatorio_UBEM
